layout_id,role,family,description,heliostat_count,energy_ratio_proxy,delta_proxy_energy_pct,flux_risk_index_proxy,delta_proxy_flux_index_pct,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,x_span_p99_m,y_span_p99_m,ellipse_axis_ratio,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,is_publishable_geometry,params_json
pf_0000,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9985255318418985,-0.1474468158101483,0.9992796458284826,-0.072035417151739,17.483548344939283,36.30811829339882,1.2656159840679704,3368.091479653305,3427.4585213660052,1.0176263151019909,1.0,1.0,1.0,1,"{""a1"": 0.0034675370662502676, ""a2"": 0.0070044827288018325, ""a3"": -0.0020825557855963014, ""az_amp"": 0.0045525882503119845, ""az_phase"": 1.5603198435132641, ""phi1"": 0.9661041994072013, ""phi2"": 0.7189110749104193, ""phi3"": 0.03195013207185387, ""radial_scale"": 0.00511397575140884, ""ring_amp"": -0.0008831456764364632, ""ring_order"": 4.0, ""ring_phase"": 0.48863273969957294, ""twist"": 0.007310597280681616, ""x_scale"": 1.0172772703180741, ""y_scale"": 1.019995438279579}"
pf_0001,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,1.0002181906392096,0.021819063920958115,1.0129407087599622,1.2940708759962227,16.69238169187335,34.855444034786615,1.2662479691374124,3244.8660976716974,3336.3781930670266,1.028202117634682,0.9810299666598391,1.0,1.0,1,"{""a1"": 0.003192487220218611, ""a2"": -0.006981469895606987, ""a3"": -0.002007800253423971, ""az_amp"": -0.0002688634566634152, ""az_phase"": -2.345233766449634, ""phi1"": 1.7673947910829175, ""phi2"": 0.9240198460095997, ""phi3"": -2.6911543449672117, ""radial_scale"": -0.011570652357256706, ""ring_amp"": 0.00331023942146693, ""ring_order"": 3.0, ""ring_phase"": -2.419305061552066, ""twist"": -0.0026054291382864377, ""x_scale"": 0.9900780374277207, ""y_scale"": 1.0184154783170076}"
pf_0002,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9980747993118109,-0.19252006881891326,1.0062753830964375,0.6275383096437492,17.368512867590525,36.05674214968167,1.2655844601669077,3407.3146253120494,3390.4436165148427,1.0049760475930136,1.0,1.0,1.0,1,"{""a1"": -0.007037845837494148, ""a2"": -0.00739281622762115, ""a3"": 0.00586833391371343, ""az_amp"": -0.009019768633076354, ""az_phase"": 0.37375888921898315, ""phi1"": 1.2663222124372642, ""phi2"": 0.16533129463031987, ""phi3"": 2.644373280595175, ""radial_scale"": 0.006427137439634065, ""ring_amp"": 0.005180724131922043, ""ring_order"": 5.0, ""ring_phase"": -2.4432054637531055, ""twist"": 0.003939972604697146, ""x_scale"": 1.022201121278625, ""y_scale"": 1.0178052097284789}"
pf_0003,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.998912515333147,-0.10874846668530447,0.9925310614621538,-0.7468938537846248,17.182376310859766,35.60198452349846,1.2652878877469822,3396.3556663885547,3318.3656667615005,1.023502533312782,0.9970092018680596,1.0,1.0,1,"{""a1"": 0.004049245291187717, ""a2"": 0.005779622111272104, ""a3"": 0.002918654730053898, ""az_amp"": -0.0030961050224598543, ""az_phase"": 1.58188437173679, ""phi1"": -2.5150334162470314, ""phi2"": -2.938356562220278, ""phi3"": 0.6690899520563748, ""radial_scale"": -0.003913511957612891, ""ring_amp"": 0.004491848266711381, ""ring_order"": 4.0, ""ring_phase"": -2.3116907109340024, ""twist"": -0.014322430814544347, ""x_scale"": 1.0240259181210953, ""y_scale"": 1.0068131697346108}"
pf_0004,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9993529324004358,-0.06470675995642328,1.011664489713087,1.166448971308709,16.92863840213909,35.54675067474477,1.2659173097378995,3262.000192540335,3372.304187382869,1.0338148339459885,0.9862101682496018,1.0,1.0,1,"{""a1"": -0.0047209416181639464, ""a2"": 0.007938458541393615, ""a3"": 0.0018535264468020646, ""az_amp"": 0.0007611081023646515, ""az_phase"": -2.520341873600197, ""phi1"": -1.7474195311942924, ""phi2"": 1.3241828585240027, ""phi3"": 2.8126009648846146, ""radial_scale"": -0.003862310693240162, ""ring_amp"": 0.0048055143105307785, ""ring_order"": 4.0, ""ring_phase"": -1.6985404044775898, ""twist"": -0.00044804185211021473, ""x_scale"": 0.991410088972277, ""y_scale"": 1.0164015212736954}"
pf_0005,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9995828345753728,-0.04171654246272194,0.9941584471773903,-0.5841552822609675,16.819087836338124,34.655623983129544,1.2658417860094848,3343.4403900705483,3275.2956602637682,1.0208056727926944,0.9840687374602707,1.0,1.0,1,"{""a1"": 0.007682629703087431, ""a2"": -0.005342327666109504, ""a3"": 0.0013316902945785967, ""az_amp"": 0.0033393967433884876, ""az_phase"": -2.695562175286649, ""phi1"": 1.5588422799947224, ""phi2"": 1.3667326581933736, ""phi3"": 0.3546031072099093, ""radial_scale"": -0.011386047625635805, ""ring_amp"": 0.0025022008023437314, ""ring_order"": 2.0, ""ring_phase"": -2.7116938670515798, ""twist"": 0.004021996574215298, ""x_scale"": 1.0213518750960373, ""y_scale"": 0.9953466758661292}"
pf_0006,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9992297520413641,-0.07702479586358946,1.003078166225626,0.30781662256260667,17.217083263905526,36.160752561537265,1.2653213193906696,3371.1166377486898,3373.644528743688,1.0007498675562547,1.0,1.0,1.0,1,"{""a1"": -0.005559831112715724, ""a2"": -0.006653131001029795, ""a3"": 0.0015622236580315962, ""az_amp"": -0.00561472364963447, ""az_phase"": -0.10490657705513805, ""phi1"": 2.6956666493320083, ""phi2"": -1.4541918999914598, ""phi3"": 0.39744406780656005, ""radial_scale"": 0.0014795756524282498, ""ring_amp"": -0.0035174397104093167, ""ring_order"": 4.0, ""ring_phase"": -0.050501588127816195, ""twist"": -0.010903001163563034, ""x_scale"": 1.0151658935850674, ""y_scale"": 1.010989299253103}"
pf_0007,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9997570967800524,-0.02429032199475767,0.9945958913217358,-0.5404108678264241,16.949404730578063,34.67899767794961,1.2660601923773325,3335.6234021053892,3274.4880993173156,1.0186701862806646,0.9838261042559956,1.0,1.0,1,"{""a1"": -0.007734205227273385, ""a2"": 0.006689458511201693, ""a3"": 0.003826042615147825, ""az_amp"": 0.002301059867141622, ""az_phase"": -0.39467611343728193, ""phi1"": -1.5846091412109347, ""phi2"": 3.1369394758467846, ""phi3"": -2.362843643328998, ""radial_scale"": -0.006496219712078557, ""ring_amp"": -0.0002963359211810346, ""ring_order"": 5.0, ""ring_phase"": -2.413236961554651, ""twist"": 0.0060931788724231176, ""x_scale"": 1.0076980790512973, ""y_scale"": 0.9973432720903812}"
pf_0008,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9994837990416544,-0.051620095834559176,0.998703223949248,-0.12967760507519577,16.925932465606824,35.071772968951564,1.2659875231122928,3357.6465448782405,3299.286101175262,1.0176888096131431,0.9912767105252085,1.0,1.0,1,"{""a1"": 0.005649688539479603, ""a2"": -0.001014618133323408, ""a3"": 0.0022453239065690763, ""az_amp"": 0.009433231153331929, ""az_phase"": -1.580831294796437, ""phi1"": 2.0454524717239235, ""phi2"": -1.6183273583915223, ""phi3"": -2.4679915864474538, ""radial_scale"": -0.0023398459224663226, ""ring_amp"": 0.003236223917765912, ""ring_order"": 3.0, ""ring_phase"": -2.0130054781056113, ""twist"": -0.002819436895045328, ""x_scale"": 1.0182595903953, ""y_scale"": 0.9940042834097484}"
pf_0009,candidate,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,1.0005497287633356,0.05497287633355885,1.0050349312440527,0.5034931244052743,16.457582862670332,34.68148447437716,1.2667611041819684,3204.7879742852365,3298.3891495305443,1.0292066670233257,0.9689130290525152,1.0,1.0,1,"{""a1"": 0.006249887943445938, ""a2"": -0.0020204604627914, ""a3"": -0.003332992451145475, ""az_amp"": 0.008526674841251027, ""az_phase"": 2.869411285219618, ""phi1"": -2.6209823930741414, ""phi2"": 3.0275316007547475, ""phi3"": -2.3900854225010906, ""radial_scale"": 0.001479869993978289, ""ring_amp"": 0.006615308563043021, ""ring_order"": 4.0, ""ring_phase"": 1.1765103407337376, ""twist"": 0.002184630013662998, ""x_scale"": 0.9755982140028646, ""y_scale"": 0.9869350319953369}"
