layout_id,role,family,description,heliostat_count,energy_ratio_proxy,delta_proxy_energy_pct,flux_risk_index_proxy,delta_proxy_flux_index_pct,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,x_span_p99_m,y_span_p99_m,ellipse_axis_ratio,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,is_publishable_geometry,source_candidate_id,params_json
baseline_full,L0,reference,Audited available Dunhuang coordinate pool.,11915,1.0,0.0,1.0,0.0,17.23107550212695,35.164200000000164,1.2659227254653054,3307.6116,3328.32,1.0062608318340642,1.0,1.0,1.0,1,,
deform_0276,L_opt,TS-FPDA representative,Optical-upper representative from the existing TS-FPDA queue.,11915,1.0020280690719199,0.20280690719198802,0.9874622878991159,-1.2537712100884058,16.20892434745614,33.307839566753955,1.2674113902741342,3098.280533098572,3175.7520790300796,1.0250046905384738,0.9367123192755074,1.0,1.0,1,,
deform_0893,L_nom,TS-FPDA representative,Nominal proxy leader from the existing TS-FPDA queue.,11915,0.9996977356768677,-0.030226432313229523,0.980865454364389,-1.913454563561101,16.961064534053172,34.825004801735986,1.265515302983562,3325.3281069738105,3349.8269037714617,1.0073673321878442,1.0,1.0,1.0,1,,
deform_1387,L_rob,TS-FPDA representative,Receiver-risk representative from the existing TS-FPDA queue.,11915,0.9990214661701345,-0.09785338298654578,0.9618992087588972,-3.810079124110277,16.368308685912023,34.50832981988947,1.2668782831502934,3371.931911077234,3187.531724949739,1.0578504630037533,0.9576998981317117,1.0,1.0,1,,
ctrl_radial_expand_015,C_rad+,low-complexity control,Simple radial expansion control carried from the earlier baseline audit.,11915,0.9992350493381252,-0.07649506618747637,1.000694081737799,0.06940817377989461,17.489541634658856,35.76350409615361,1.2649742434104592,3357.225774,3378.2447999999995,1.006260831834064,1.0,1.0,1.0,1,,
joint_g02_0333,J_bal,joint representative,No-energy-loss joint layout--aiming hypothesis from the existing joint queue.,11915,1.0000150353850785,0.0015035385078521202,0.9711424453756102,-2.885755462438977,16.625108197957736,34.57121227539574,1.2671760742158318,3282.40997712024,3237.6608431151208,1.0138214396669367,0.9727612859085426,1.0,1.0,1,,
joint_g04_0478,J_flux,joint representative,Receiver-boundary joint layout--aiming candidate from the existing joint queue.,11915,0.9980473125104178,-0.19526874895822166,0.9723898460807618,-2.7610153919238156,16.841469515598686,35.48514517954891,1.2654998954989083,3405.5419124277314,3299.820625849487,1.0320384949866868,0.9914373094682863,1.0,1.0,1,,
sb_pf_energy,SB_pf_energy,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,1.0005555254329566,0.055552543295656065,1.0078884767848078,0.7888476784807752,16.72472112986937,34.584854280363515,1.2658578556180042,3208.426503573708,3302.541028943233,1.02933354566941,0.970013076376231,1.0,1.0,1,pf_0031,"{""a1"": 0.002830304531178598, ""a2"": -0.0019770669642151565, ""a3"": 0.0008369997757424273, ""az_amp"": -0.006271862496702259, ""az_phase"": 2.879678809384588, ""phi1"": 1.6431645195311402, ""phi2"": -0.9167610785398326, ""phi3"": -1.6075059196884307, ""radial_scale"": -0.006499681895378272, ""ring_amp"": -0.006539458304230411, ""ring_order"": 2.0, ""ring_phase"": 1.8153196998468988, ""twist"": 0.015865933624703833, ""x_scale"": 0.982009251016928, ""y_scale"": 1.004718191327422}"
sb_pf_flux,SB_pf_flux,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9985920908639543,-0.14079091360457152,0.984314350482542,-1.568564951745799,17.018329036136574,35.25518699986992,1.2647635335590566,3377.5168798530062,3325.757322293788,1.0155632394499305,0.9992300386662905,1.0,1.0,1,pf_0015,"{""a1"": -0.004042103245874946, ""a2"": -0.002309627544318726, ""a3"": 2.1412718504104867e-05, ""az_amp"": -0.003018221768281693, ""az_phase"": -2.235782835534135, ""phi1"": -0.29470548478829783, ""phi2"": 0.07170463394922365, ""phi3"": -2.3400625754187296, ""radial_scale"": 0.011684207655761824, ""ring_amp"": -0.006633739310601369, ""ring_order"": 3.0, ""ring_phase"": -1.4240363286310795, ""twist"": 0.013667880731748742, ""x_scale"": 1.0118644535314183, ""y_scale"": 0.9920608113349315}"
sb_hs_energy,SB_hs_energy,slider-like approximation,Ringwise azimuthal sliding pressure baseline inspired by collision/shadow-projection layout design.,11915,1.0004814974464393,0.048149744643932735,0.994338528340165,-0.5661471659834993,17.016772186685664,34.80497299217586,1.2662741301838847,3272.1265927011937,3297.8793769978765,1.007870350845877,0.9892717127673617,1.0,1.0,1,hs_0038,"{""az_amp"": -0.002264276303408357, ""az_order"": 4.0, ""az_phase"": -1.513083323962463, ""radial_scale"": 0.001987051351401439, ""ring_amp"": -0.0035654693414688995, ""ring_order"": 3.0, ""ring_phase"": -0.8515395601571547, ""slide_amp"": 0.007795626040322268, ""x_scale"": 0.9899279001870582, ""y_scale"": 0.989843881753214}"
sb_hs_flux,SB_hs_flux,slider-like approximation,Ringwise azimuthal sliding pressure baseline inspired by collision/shadow-projection layout design.,11915,0.9987211526681959,-0.1278847331804056,0.9699876548708268,-3.001234512917317,17.174427547566253,35.60377074039866,1.2654607453341766,3387.460068102362,3345.239486770611,1.0126210937957418,1.0,1.0,1.0,1,hs_0020,"{""az_amp"": -0.003338294711109732, ""az_order"": 4.0, ""az_phase"": -0.6542492948877169, ""radial_scale"": 0.01056943964901115, ""ring_amp"": -0.0048817337261114575, ""ring_order"": 3.0, ""ring_phase"": 2.1041251120177704, ""slide_amp"": 0.014234736353402786, ""x_scale"": 1.0084940050833502, ""y_scale"": 0.9933776175148653}"
sb_ta_energy,SB_ta_energy,terrain-aware approximation,Terrain-relief-aware pressure baseline that redistributes the full field away from higher public-terrain slope/elevation cells.,11915,1.0006839303353932,0.0683930335393157,0.9982996448719097,-0.1700355128090303,16.62480604454466,34.48836833581959,1.2662837883607874,3246.053880326611,3272.766209010113,1.0082291698376906,0.9813890725037397,1.0,1.0,1,ta_0028,"{""north_bias"": -0.0037695970611295684, ""radial_scale"": -0.0052543472753784305, ""terrain_amp"": 0.005017088437435765, ""terrain_slide"": -6.937139926428327e-05, ""twist"": 0.001853395511068927, ""x_scale"": 0.9876802756117825, ""y_scale"": 0.9905437807035053}"
sb_ta_flux,SB_ta_flux,terrain-aware approximation,Terrain-relief-aware pressure baseline that redistributes the full field away from higher public-terrain slope/elevation cells.,11915,0.9996041445486388,-0.03958554513612267,0.9874381515997143,-1.2561848400285736,16.425763361590786,34.79700731929279,1.2665064723272546,3339.293080052153,3268.1110879135526,1.0217807749564733,0.9819101191933325,1.0,1.0,1,ta_0022,"{""north_bias"": 0.005177184797423194, ""radial_scale"": -0.004088839244840871, ""terrain_amp"": 0.005899327818744057, ""terrain_slide"": 0.004455040990773805, ""twist"": -0.00265105501578748, ""x_scale"": 1.014369710943083, ""y_scale"": 0.9858432390388696}"
sb_hy_energy,SB_hy_energy,hybrid pressure approximation,Hybrid petal/slider pressure baseline combining bounded petal modulation with ring sliding.,11915,1.0011584219597385,0.1158421959738476,1.0060331162724627,0.6033116272462724,16.49635310661904,34.187901455556585,1.2668163819601215,3195.840382817729,3248.547194623402,1.0164923167280346,0.966207877254309,1.0,1.0,1,hy_0039,"{""north_bias"": -0.0021486391367927177, ""petal_amp"": 0.003726607657688462, ""petal_order"": 4.0, ""petal_phase"": 1.0907419765549509, ""petal_twist"": -0.004659700338222556, ""radial_scale"": -0.012902148839547685, ""ring_amp"": 0.0058883184062263755, ""ring_order"": 4.0, ""ring_phase"": -2.4872476199329325, ""twist"": -0.007532221512943816, ""x_scale"": 0.9757761246956178, ""y_scale"": 0.9902658054128152}"
sb_hy_flux,SB_hy_flux,hybrid pressure approximation,Hybrid petal/slider pressure baseline combining bounded petal modulation with ring sliding.,11915,0.9986205890357923,-0.13794109642076835,0.9878913406560356,-1.2108659343964434,16.97916413920982,35.560122498122155,1.265582745536343,3405.372096204166,3341.4672372888645,1.0191247899132931,1.0,1.0,1.0,1,hy_0018,"{""north_bias"": 0.00880271654466469, ""petal_amp"": -0.009463646922206921, ""petal_order"": 8.0, ""petal_phase"": 1.6267742603097084, ""petal_twist"": -0.000881159566217578, ""radial_scale"": 0.001632736591476987, ""ring_amp"": 0.005676862460887273, ""ring_order"": 3.0, ""ring_phase"": 0.42445002433022777, ""twist"": 0.013227824428585952, ""x_scale"": 1.0198181868496572, ""y_scale"": 0.9984211114375663}"
sb_balanced,SB_balanced,slider-like approximation,Ringwise azimuthal sliding pressure baseline inspired by collision/shadow-projection layout design.,11915,0.9986913833031723,-0.13086166968276913,0.9796720326573035,-2.0327967342696485,17.25258386547915,35.75275539603331,1.2643880690255636,3327.34129152235,3409.6031942993895,1.0247230132318055,1.0,1.0,1.0,1,hs_0041,"{""az_amp"": -0.005814775561636079, ""az_order"": 4.0, ""az_phase"": 0.16878674122724582, ""radial_scale"": 0.004448953314359255, ""ring_amp"": 0.004997365834122321, ""ring_order"": 5.0, ""ring_phase"": 1.8554857976990562, ""slide_amp"": 0.012725585036355458, ""x_scale"": 1.0037131918829416, ""y_scale"": 1.0180576151030822}"
