layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt
deform_1387,staggered_levels:9:0.380:2,27,-0.7217625114828876,-3.605052345784554,-10.428748280845657,1.069406928031287,0.5925925925925926,0.3280447639307912,-0.11166666666666547
deform_0893,staggered_levels:9:0.380:0,27,-0.1939109767562981,-3.4910411064925815,-16.739997336018085,10.329091158983823,0.5185185185185185,-0.7697685253238011,-0.22166666666666446
ctrl_radial_expand_015,visible_equator,27,-7.17174720294949,-2.433995629350954,-14.466736391809395,9.957267322777001,0.5555555555555556,-0.5701695108509602,-0.5383333333333407
ctrl_ring_wave_012,five_point,27,-0.08129671859005284,-2.303358272645762,-15.96376957213932,10.528279423517814,0.5555555555555556,-0.01613195067794022,-0.2550000000000052
ctrl_ring_wave_012,visible_equator,27,-6.768506543594385,-1.8285849272371817,-13.86424269342541,9.77714992945503,0.5925925925925926,-0.5604263866886025,-0.15666666666667162
ctrl_radial_compact_015,staggered_levels:9:0.380:5,27,-0.540545774064752,-1.4428858273735603,-12.709930913096898,10.388371528074579,0.6666666666666666,0.6168088287944598,0.4266666666666641
deform_0276,five_point,27,-0.4937631293524949,-1.19695958334366,-16.67211609393424,21.245586431438205,0.7407407407407407,1.3458473732732479,1.368333333333338
ctrl_radial_expand_015,staggered_levels:9:0.380:0,27,0.24494580152938766,-1.1957071703725797,-9.892936042762845,9.972486226903504,0.4444444444444444,-0.22458301105536374,-0.3950000000000009
ctrl_ring_wave_012,staggered_levels:9:0.380:0,27,-0.056032792684556035,-1.1425023032425325,-9.815891161120776,10.987594432988077,0.5925925925925926,-0.7300789861968461,-0.14666666666667272
deform_0893,five_point,27,0.07060318837278036,-0.9214666259892624,-16.572921532324305,15.297366202821284,0.48148148148148145,-0.0640919377411349,-0.10999999999999899
deform_1387,visible_equator,27,-0.06617248207332291,-0.8989240238627844,-14.78340019943685,15.768695470138956,0.5555555555555556,-0.0757137792821054,-0.1483333333333392
deform_1822,five_point,27,0.28629769248343145,-0.8778123311453488,-16.183428029540508,11.227887056065631,0.4444444444444444,-0.15581903038475467,0.11999999999999789
deform_1822,staggered_levels:9:0.380:0,27,0.11562239996314048,-0.8424570113867091,-9.492483922413935,10.089657938156154,0.48148148148148145,-0.9395650434052436,0.22499999999999742
deform_1822,staggered_levels:9:0.380:1,27,-0.26035437712577125,-0.7338651486848115,-10.086111840507552,10.348060360344187,0.5185185185185185,-0.8711672595216393,0.2566666666666717
ctrl_radial_compact_015,staggered_levels:9:0.380:0,27,-0.13661649210030616,-0.6417161297691741,-12.587459554040334,10.743121670579445,0.5555555555555556,-0.0470159595635549,0.43999999999999595
deform_0893,staggered_levels:9:0.380:1,27,0.1799944235000202,-0.6411348920084653,-16.74551038465075,10.548130813519444,0.37037037037037035,-0.1283947762808818,-0.216666666666665
ctrl_radial_compact_015,staggered_levels:9:0.380:2,27,-0.22442339854524943,-0.6083232994058326,-13.079475413835011,10.331199026653776,0.5925925925925926,0.23104512509261227,0.3466666666666618
deform_1387,staggered_levels:9:0.380:0,27,-0.0005299646553142905,-0.5547694964206048,-9.593416240079968,10.485605067338856,0.5185185185185185,0.055248657689884524,-0.2366666666666739
deform_1387,staggered_levels:9:0.380:1,27,0.034969426639950535,-0.4036584993048301,-12.742774663812153,14.015636577336446,0.48148148148148145,-0.33798981850317567,-0.14666666666666162
deform_1822,staggered_levels:9:0.380:2,27,0.11677104893098342,-0.04369504493818291,-9.917949138845568,9.88756220656664,0.4444444444444444,-0.5866155368968794,0.21333333333333204
deform_0276,staggered_levels:9:0.380:1,27,-0.22878759660253048,0.06009345256200635,-10.276819951586784,10.00739405421087,0.5925925925925926,0.7646683934815759,1.423333333333332
deform_0893,staggered_levels:9:0.380:8,27,0.21443820722030865,0.15128141629528852,-17.233281609459382,14.44178707733205,0.48148148148148145,-0.9753403244403192,-0.2483333333333282
ctrl_ring_wave_012,staggered_levels:9:0.380:2,27,0.003111176206460459,0.2258307617689341,-10.436550851643565,14.381992886256725,0.48148148148148145,-0.4622710168924982,-0.18333333333333535
deform_0893,visible_equator,27,0.5194996792740261,0.2679156223995222,-14.532232806912797,9.739070318257117,0.37037037037037035,-0.06039095079372126,-0.17333333333333645
deform_1387,five_point,27,0.039943486153537655,0.33974425460308405,-11.654423510612183,10.521748017961153,0.48148148148148145,0.3107147881370102,0.008333333333332416
ctrl_ring_wave_012,staggered_levels:9:0.380:8,27,0.3488745488937762,0.3925042719649727,-9.481276574206937,11.011911810554283,0.4444444444444444,-0.5144419492858404,-0.22333333333334204
ctrl_ring_wave_012,staggered_levels:9:0.380:5,27,-0.02782780464367625,0.41444685852346613,-9.476599118128838,19.491188521433298,0.5185185185185185,-0.7910613152304258,-0.2583333333333271
ctrl_radial_compact_015,staggered_levels:9:0.380:1,27,0.18093842343686323,0.515777381751793,-9.649858938834862,14.176797724163759,0.48148148148148145,-0.10580383290508055,0.2883333333333349
deform_0276,visible_equator,27,-0.9644627771630686,0.5708756401390829,-11.440536381684616,17.21263860189817,0.6666666666666666,1.0009065541999818,1.4899999999999913
deform_1822,staggered_levels:9:0.380:8,27,-0.15428368561744477,1.0633002320373155,-9.55894719969886,14.89251056963611,0.5555555555555556,-0.4199733690773518,0.16166666666667107
ctrl_radial_compact_015,visible_equator,27,0.13506502307539858,1.2758605871693913,-15.289840692196337,17.51745014183381,0.48148148148148145,0.0871411672324709,0.4549999999999943
deform_1822,staggered_levels:9:0.380:5,27,0.059375658670671606,1.3343234470270653,-9.405528365842564,14.535669945174597,0.48148148148148145,-0.9233782748150423,0.10000000000000009
ctrl_ring_wave_012,staggered_levels:9:0.380:1,27,0.2509583902938582,1.3343342574501202,-9.368031892870635,14.273995232383815,0.4074074074074074,-0.5115611097036353,-0.168333333333337
deform_0276,staggered_levels:9:0.380:5,27,-0.01819756113264057,1.5191158597127283,-10.558214403727986,10.542171269751456,0.5185185185185185,0.5323132316508512,1.413333333333333
ctrl_radial_expand_015,staggered_levels:9:0.380:1,27,0.5375215036733761,1.5922527312083028,-12.173533649651876,11.117311201633846,0.3333333333333333,-1.4582029074081264,-0.41999999999999815
ctrl_radial_compact_015,staggered_levels:9:0.380:8,27,0.08571092895837572,1.5933968246026096,-10.363840439398038,10.433339663606631,0.48148148148148145,0.3805899260343289,0.43000000000000815
deform_0276,staggered_levels:9:0.380:8,27,-0.09826467921133142,1.5951891327708456,-13.237492803284685,10.497853816876816,0.5185185185185185,0.34049688750541984,1.261666666666661
deform_0276,staggered_levels:9:0.380:0,27,-0.5439866236097607,1.616878913007241,-9.619239587442838,13.175911161647296,0.7037037037037037,0.8764268168643433,1.31
deform_0893,staggered_levels:9:0.380:2,27,0.2844156862141229,2.1136763552787934,-12.478901697821183,15.102420037614458,0.37037037037037035,-0.9493329131656569,-0.2466666666666728
deform_0276,staggered_levels:9:0.380:2,27,-0.13951895739663678,2.2323218515119447,-10.218429908517178,19.6134195245574,0.5555555555555556,0.9744677400363918,1.1933333333333351
