layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt,label,role_name,strategy_short
joint_g02_0333,staggered_levels:9:0.380:2,27,-0.5296007214523998,-1.981780958087683,-13.269524863750616,19.835260933442967,0.7037037037037037,0.39684995396811,0.2283333333333304,$J_{bal}$,no-energy-loss balance,S9-p2
joint_g02_0303,staggered_levels:9:0.380:2,27,-0.7397335317136785,-2.494734805732181,-17.001414891402767,10.667001038300215,0.6296296296296297,0.0812079712738736,0.5283333333333418,$J_{gain}$,energy-gated receiver candidate,S9-p2
joint_g04_0478,staggered_levels:9:0.380:5,27,-7.621988709547595,-4.063301372127869,-10.168175641848793,3.905401552503403,0.7407407407407407,0.1665506601927344,-0.6149999999999989,$J_{flux}$,receiver-risk boundary,S9-p5
