view,layout_id,label,role_name,strategy,strategy_short,cases,mean_delta_peak_pct,median_delta_peak_pct,ci95_low_pct,ci95_high_pct,share_lower_peak,median_delta_intercept_pctpt
proxy-selected,joint_g02_0333,$J_{bal}$,no-energy-loss balance,staggered_levels:9:0.380:2,S9-p2,27,-1.981780958087683,-0.5296007214523998,-6.526204585075411,3.1094356704564556,0.7037037037037037,0.2283333333333304
best-direct,joint_g02_0333,$J_{bal}$,no-energy-loss balance,staggered_levels:9:0.380:2,S9-p2,27,-1.981780958087683,-0.5296007214523998,-6.553911225110033,3.1037089979403945,0.7037037037037037,0.2283333333333304
proxy-selected,joint_g02_0303,$J_{gain}$,energy-gated receiver candidate,staggered_levels:9:0.380:3,S9-p3,27,2.5756712548593956,0.3528886056290903,-1.6713449391793886,6.664439862528597,0.48148148148148145,0.6433333333333291
best-direct,joint_g02_0303,$J_{gain}$,energy-gated receiver candidate,staggered_levels:9:0.380:2,S9-p2,27,-2.4947348057321808,-0.7397335317136785,-6.738132779002098,2.0410447265968985,0.6296296296296297,0.5283333333333418
proxy-selected,joint_g04_0478,$J_{flux}$,receiver-risk boundary,staggered_levels:9:0.380:5,S9-p5,27,-4.063301372127869,-7.621988709547595,-6.985079353150971,-0.9385993904032375,0.7407407407407407,-0.6149999999999989
best-direct,joint_g04_0478,$J_{flux}$,receiver-risk boundary,staggered_levels:9:0.380:5,S9-p5,27,-4.063301372127869,-7.621988709547595,-6.987013382608205,-0.9437440846739944,0.7407407407407407,-0.6149999999999989
