layout_id,proxy_best_strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,best_condition_delta_pct,worst_condition_delta_pct,median_delta_intercept_pctpt
joint_g02_0333,staggered_levels:9:0.380:0,27,-0.05315774052391916,-1.3418292380824444,-15.592230635795095,10.065757637334412,0.5555555555555556,-28.592403029544965,20.950354839638784,0.04166666666666208
ctrl_radial_expand_015,staggered_levels:9:0.380:0,27,-0.09768555271372312,-0.4430438554998378,-11.945428328048976,14.926774272910961,0.5185185185185185,-35.444519367588335,33.867888683442054,-0.43000000000000815
deform_1387,staggered_levels:9:0.380:1,27,0.5632208131188666,0.9652472676687763,-16.718155958131263,11.107576020163501,0.4444444444444444,-31.236576200563515,32.84887747159503,-0.09166666666665657
sb_hs_flux,staggered_levels:9:0.380:2,27,0.6440336964413476,3.2382209398471025,-3.537325461655377,10.903127155651857,0.14814814814814814,-18.264690736151877,23.090573373115415,-0.4766666666666697
joint_g04_0478,staggered_levels:9:0.380:6,27,0.7686307258473223,4.632017321485891,-12.095189860986562,19.260960062016697,0.4074074074074074,-17.78355377603912,30.295868818986026,-0.5900000000000016
deform_0893,staggered_levels:9:0.380:2,27,0.7856316030231433,4.733846590769371,-8.54708896343477,20.465036240685908,0.2962962962962963,-17.44753642632645,33.14881461407603,-0.15499999999999403
sb_pf_flux,staggered_levels:9:0.380:8,27,0.44266650682078573,4.781361345002421,-3.4336250035218954,14.096658112419018,0.3333333333333333,-8.688252779682443,21.643410508164997,-0.5266666666666642
sb_hy_energy,staggered_levels:9:0.380:2,27,9.405946704331065,7.250488843018156,-0.08260052624728108,20.072009192413894,0.2222222222222222,-7.962902369160858,22.88462921737298,0.8883333333333354
