layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt
joint_g04_0478,staggered_levels:9:0.380:1,27,0.09256796120416831,-2.2701026811306595,-16.275978560010433,10.85797241590634,0.48148148148148145,-0.23169363362318657,-0.7433333333333292
joint_g04_0478,staggered_levels:9:0.380:0,27,-0.21918150698393796,-2.005549948947675,-16.87546477517502,10.505992410132333,0.5555555555555556,-0.2008378653457487,-0.6983333333333341
joint_g02_0333,staggered_levels:9:0.380:0,27,-0.05315774052391916,-1.3418292380824444,-15.592230635795095,10.065757637334412,0.5555555555555556,-0.13741232197792422,0.04166666666666208
joint_g02_0333,staggered_levels:9:0.380:1,27,-0.2618035354665747,-1.0735963448455688,-10.436950688312427,10.416796630221087,0.6666666666666666,0.0943804204115775,0.15333333333332755
joint_g04_0478,staggered_levels:9:0.380:3,27,-0.13671636469951653,-0.6521584323518899,-13.311876220905141,21.25714627740191,0.5555555555555556,-0.9193010021935063,-0.5516666666666725
joint_g04_0478,five_point,27,0.1622275934644756,-0.5571078609637486,-16.7747970307041,11.631210865419042,0.48148148148148145,-0.1345114810770975,-0.6583333333333385
sb_hy_energy,staggered_levels:9:0.380:1,27,-0.8445692840553817,-0.5334229958551006,-12.58483115216956,10.803199070213992,0.6666666666666666,0.3067470162686388,0.8516666666666617
sb_pf_flux,staggered_levels:9:0.380:1,27,0.45714690528470336,-0.5078984248239071,-17.346906337584034,11.767330868248614,0.4074074074074074,-0.5786385552283106,-0.6516666666666615
ctrl_radial_expand_015,staggered_levels:9:0.380:0,27,-0.09768555271372312,-0.4430438554998372,-11.945428328048976,14.926774272910961,0.5185185185185185,-0.2031362131695308,-0.43000000000000815
deform_0893,visible_equator,27,0.12298042455919271,-0.36340345464317847,-11.114129081191939,9.768838926615189,0.48148148148148145,-0.6610398764775816,-0.12333333333333085
ctrl_radial_expand_015,staggered_levels:9:0.380:8,27,0.606000753037388,-0.28920640075734905,-17.794190301863477,10.980178995377631,0.4444444444444444,-0.969484053644653,-0.5049999999999999
sb_hs_flux,staggered_levels:9:0.380:1,27,-0.027968615379548308,-0.2693144207256747,-16.90040735137155,11.238738856335406,0.5185185185185185,-0.8992040572542479,-0.5266666666666642
