azimuth_deg,zenith_deg,optical_efficiency
-108.35019489798991,75.16418312875743,0.3055566271884661
-99.70177729225928,64.03854613089877,0.35831377410194964
-90.65725218339195,52.62006745858984,0.37854726361804053
-80.10550056197206,41.191926663818144,0.39024176929366733
-65.71597060160005,30.220975288499755,0.3987496114561176
-41.76737971760258,20.89356310756119,0.40398254607147704
-0.02649730319993182,16.626494559832018,0.40581244808415917
41.733481366345615,20.885152941032278,0.40393437350536293
65.69781312851728,30.2094189073104,0.39865314649863637
80.09380784226579,41.17935149890511,0.3901014673210356
90.64820738811954,52.607172025574044,0.37835624986919425
99.69373833327666,64.02564752595765,0.35809794866739697
108.34226925936326,75.15150512384662,0.30532401494464423
-103.05694324524731,79.25066189596319,0.2655985535475656
-93.85864772434175,67.91417694123636,0.34647009966820624
-84.05004341676307,56.45567213103458,0.3738910765447312
-72.44239345974204,45.23286191110136,0.3870383303543317
-56.88058979485963,34.856844311949594,0.3960139974885303
-33.52553460378584,26.657467852486846,0.4014736805780427
-0.005258428768570411,23.27836988899996,0.4032870707767888
33.50297054232149,26.677898654682636,0.4014044392636466
56.82712949609572,34.890690187644694,0.3958756117397244
72.36896716902598,45.27713411033445,0.3868282848433287
83.96306065507406,56.510993018947715,0.37359001521381896
93.7605487498762,67.98296840649652,0.3459293774733547
102.94853725010887,79.33652554742933,0.26402254897296323
-88.6185403728444,71.76405180484123,0.3290858166005542
-78.33762959621721,60.3781869708391,0.36787104264766507
-66.17249517001106,49.459019318642675,0.3833129459426154
-50.32140495737491,39.69478288411299,0.39267975748583783
-28.36550489106145,32.38036746674916,0.398347756957378
0.009640640742048845,29.538923633591054,0.4002009342784993
28.360109539294683,32.410314219362654,0.39826378061748535
50.27776982695926,39.74608726009079,0.3925129404897199
66.09910820422152,49.52588138976196,0.38305937436537113
78.24260993458984,60.45942327140914,0.3674866603141803
88.50579905302101,71.86136077727755,0.32825863395731986
-83.33462704972813,75.97669621658774,0.3020009704318309
-72.78348897352038,64.7642929573502,0.35861492576079196
-60.38771577367352,54.24239576992155,0.37850936059345114
-44.747718069791944,45.12420700831934,0.38835675570621736
-24.459009882458645,38.58265497976083,0.3942014586302901
0.006852777628154172,36.14145341232751,0.396126800997166
24.452840707919705,38.614956032818824,0.39410586172447776
44.707060953214835,45.181397578715845,0.388181582836747
60.31532138722986,54.3180236897195,0.3781616775776407
72.68532678473292,64.85586468092303,0.3580937685538746
83.21402125445724,76.0848996346986,0.30090439525149987
-78.54251768768323,80.03258420134576,0.256428439103611
-67.92328362605231,69.05877029093057,0.3439671306960991
-55.56574516114709,58.95802158345393,0.3718946554826111
-40.40853528427334,50.427515618552576,0.38354184762704424
-21.653755354809164,44.49707335034005,0.3895275331766877
0.006053265970251687,42.34058404282935,0.39152368406326277
21.649824158340977,44.5300439410088,0.38942215916508033
40.37432846494073,50.48708991230293,0.3833325364916408
55.50014820329861,59.03760788358728,0.37155016223610865
67.82985159941711,69.1548259586366,0.34328302167361996
78.4235199315471,80.14463694421794,0.25449861632537674
-62.8664332338266,73.95203063324364,0.3182401480252494
-50.76926121867021,64.35396095758055,0.3612188791864044
-36.33266018690239,56.444790114318366,0.37665232270551924
-19.171097298329954,51.09370488331612,0.38349016829256516
0.004741621419469766,49.18686992074891,0.3854969097525604
19.167986107321553,51.12464848189354,0.38337629443733473
36.304905272977436,56.50158908998218,0.37640653112237316
50.71315936158862,64.43054723547205,0.36079228863362384
62.78291851880215,74.04427540098557,0.3173175662840028
-58.1162158941119,78.8909524628382,0.2740808725152298
-46.4501919189689,69.81783861630039,0.34232643002648766
-32.84059720620243,62.49412762695479,0.3663584266734265
-17.142582604575466,57.64173865241062,0.37554769235379637
-0.0030083387728438993,55.935990264238555,0.3780569340463724
17.132723694688394,57.66553786603786,0.37536898691180554
32.81362297075353,62.53830390400773,0.36607680807389814
46.401744035250545,69.87786298151951,0.3417803019603539
58.04519759374659,78.96320375674048,0.2728277992363713
-52.9553199004412,84.5337875644108,0.1559270274811248
-41.94289387083603,76.07647882355413,0.3043429933687606
-29.353066099769677,69.37952522114655,0.34490433330950276
-15.194447821843795,65.01943308691212,0.36097925493853367
-0.012373765216324273,63.496377741594536,0.3648317595460705
15.170811807300481,65.01530263569366,0.36089453156034274
29.331229982039275,69.37179597087147,0.3447700798224775
41.92311604979756,76.06593787268183,0.30415266467910873
52.93722777779544,84.52120362830352,0.155983817036834
