azimuth_deg,zenith_deg,optical_efficiency
-108.3501948979904,75.16418312875807,0.30577230364777225
-99.70177729225928,64.03854613089877,0.35843041437303097
-90.65725218339193,52.62006745858983,0.378378618338064
-80.10550056197276,41.191926663818805,0.3901627860480351
-65.71597060159884,30.22097528849905,0.3987448232249353
-41.76737971760252,20.89356310756119,0.4039882814310961
-0.026497302993618632,16.626494559832,0.4057991338812445
41.73348136634553,20.88515294103226,0.40394133313085334
65.69781312851728,30.209418907310415,0.3986581920396639
80.09380784226659,41.179351498905866,0.3900236240116468
90.64820738811954,52.607172025574044,0.378188137472827
99.69373833327666,64.02564752595762,0.35821631374791824
108.34226925936326,75.1515051238466,0.30555509517105206
-103.05694324524782,79.25066189596382,0.26593203658423514
-93.85864772434175,67.91417694123639,0.346771802005197
-84.05004341676272,56.45567213103373,0.3738426501487741
-72.44239345974279,45.23286191110199,0.3869577483842728
-56.88058979485963,34.856844311949594,0.3960049476082319
-33.525534603785815,26.657467852486846,0.40148555905050215
-0.005258428768570411,23.27836988899996,0.4032937874379503
33.50297054232158,26.677898654682647,0.401417126704715
56.82712949609572,34.89069018764468,0.39586790412308426
72.36896716902524,45.27713411033382,0.3867521927436209
83.96306065507406,56.510993018947715,0.37355520775793616
93.7605487498762,67.98296840649652,0.34623891513972777
102.94853725010887,79.33652554742933,0.26436990968936724
-88.6185403728444,71.76405180484126,0.32947100293838816
-78.3376295962172,60.3781869708391,0.36788871718583377
-66.17249517001106,49.459019318642675,0.38321768413519625
-50.32140495737494,39.69478288411299,0.3926789780043118
-28.365504891061477,32.38036746674918,0.3983649147206425
0.009640640666447098,29.538923633591054,0.40024745233806597
28.36010953929471,32.410314219362654,0.39828173770952613
50.27776982695923,39.74608726009079,0.3925138546683007
66.09910820422152,49.52588138976194,0.38296846764634074
78.24260993458915,60.459423271408475,0.3675042012562138
88.50579905302101,71.86136077727754,0.3286324772515713
-83.33462704972813,75.97669621658774,0.30232694120561
-72.78348897352038,64.7642929573502,0.35875657474577693
-60.387715773674316,54.24239576992212,0.3784545311393049
-44.747718069791915,45.12420700831933,0.3883662207322994
-24.459009882458645,38.58265497976083,0.39426108252963
0.00685277768133119,36.14145341232751,0.3961940010772212
24.452840707919904,38.61495603281848,0.3941668333345928
44.70706095321489,45.181397578715874,0.388177959575078
60.31532138722909,54.31802368971893,0.3781519894306951
72.6853267847323,64.85586468092242,0.35827056365365556
83.21402125445724,76.0848996346986,0.30123067596298303
-78.5425176876838,80.0325842013464,0.25682371237900137
-67.92328362605228,69.05877029093057,0.3442391933594961
-55.56574516114786,58.95802158345445,0.37188022229719786
-40.40853528427428,50.42751561855299,0.3835936544354047
-21.653755354809192,44.49707335034005,0.38963738154293964
0.006053265849828904,42.34058404282935,0.3916159325184613
21.649824158339783,44.53004394100857,0.3895330937901236
40.37432846494073,50.48708991230293,0.3833860866070975
55.50014820329781,59.03760788358674,0.3715351721326317
67.82985159941646,69.15482595863598,0.3435507434060457
78.4235199315471,80.14463694421791,0.25489093097347765
-62.86643323382661,73.95203063324364,0.31845371782335724
-50.76926121867021,64.35396095758055,0.3612779903091885
-36.33266018690327,56.44479011431874,0.3767285048002752
-19.171097298329954,51.09370488331612,0.38365319986055924
0.004741621419469766,49.18686992074891,0.38568163806860295
19.167986107320502,51.124648481893324,0.38354066510573814
36.304905272977436,56.50158908998218,0.3764865896611927
50.71315936158862,64.43054723547205,0.3608486665632231
62.78291851880152,74.04427540098497,0.3175358365836528
-58.1162158941119,78.89095246283817,0.27426571298936714
-46.4501919189689,69.81783861630039,0.34235578894143476
-32.840597206203256,62.494127626955155,0.3663323640306536
-17.142582604575466,57.64173865241062,0.37557160516283133
-0.0030083387728438993,55.935990264238555,0.3781765173801863
17.13272369468754,57.665537866037674,0.37544646874937193
32.81362297075353,62.53830390400773,0.36605754897373777
46.4017440352506,69.87786298151951,0.3418061080110328
58.04519759374597,78.96320375673993,0.2730197540027366
-52.95531990044171,84.53378756441128,0.15579324972952785
-41.94289387083603,76.07647882355413,0.30434403175454317
-29.35306609976965,69.37952522114652,0.3447268669600878
-15.194447821844676,65.01943308691229,0.3608618767190477
-0.01237376515740607,63.496377741594536,0.3647858652331816
15.170811807300538,65.01530263569369,0.36078118841248563
29.331229982038536,69.37179597087116,0.3445846289283751
41.92311604979756,76.06593787268181,0.3041583966810289
52.93722777779544,84.52120362830351,0.15587658112281627
