radius_inner_m,radius_outer_m,radius_mid_m,heliostat_count,count_density_per_m2,count_share,baseline_density_per_m2,baseline_count_share,layout_id,label,delta_density_pct,delta_count_share_pctpt
0.0,114.31298902583723,57.15649451291861,0,0.0,0.0,0.0,0.0,baseline_full,L0,,0.0
114.31298902583723,228.62597805167445,171.46948353875584,286,0.0023222220490290717,0.02400335711288292,0.0023222220490290717,0.02400335711288292,baseline_full,L0,0.0,0.0
228.62597805167445,342.9389670775117,285.78247256459304,528,0.0025723075004629712,0.044313890054553086,0.0025723075004629712,0.044313890054553086,baseline_full,L0,0.0,0.0
342.9389670775117,457.2519561033489,400.0954615904303,783,0.0027247250715131312,0.06571548468317247,0.0027247250715131312,0.06571548468317247,baseline_full,L0,0.0,0.0
457.2519561033489,571.5649451291861,514.4084506162675,837,0.0022653844464304595,0.0702475870751154,0.0022653844464304595,0.0702475870751154,baseline_full,L0,0.0,0.0
571.5649451291861,685.8779341550234,628.7214396421048,834,0.0018468530091133922,0.06999580360889635,0.0018468530091133922,0.06999580360889635,baseline_full,L0,0.0,0.0
685.8779341550234,800.1909231808606,743.0344286679419,1002,0.0018775146528728845,0.08409567771716324,0.0018775146528728845,0.08409567771716324,baseline_full,L0,0.0,0.0
800.1909231808606,914.5039122066978,857.3474176937792,923,0.0014988887771005832,0.07746537977339488,0.0014988887771005832,0.07746537977339488,baseline_full,L0,0.0,0.0
914.5039122066978,1028.816901232535,971.6604067196164,908,0.0013010557099044002,0.07620646244229962,0.0013010557099044002,0.07620646244229962,baseline_full,L0,0.0,0.0
1028.816901232535,1143.1298902583721,1085.9733957454537,908,0.001164102477282885,0.07620646244229962,0.001164102477282885,0.07620646244229962,baseline_full,L0,0.0,0.0
1143.1298902583721,1257.4428792842095,1200.2863847712908,681,0.0007899266810133839,0.05715484683172472,0.0007899266810133839,0.05715484683172472,baseline_full,L0,0.0,0.0
1257.4428792842095,1371.7558683100467,1314.599373797128,1260,0.0013344480610109292,0.10574905581200168,0.0013344480610109292,0.10574905581200168,baseline_full,L0,0.0,0.0
1371.7558683100467,1486.0688573358839,1428.9123628229654,945,0.0009207691620975414,0.07931179185900127,0.0009207691620975414,0.07931179185900127,baseline_full,L0,0.0,0.0
1486.0688573358839,1600.3818463617213,1543.2253518488026,536,0.0004835707141723311,0.044985312631137225,0.0004835707141723311,0.044985312631137225,baseline_full,L0,0.0,0.0
1600.3818463617213,1714.6948353875584,1657.5383408746397,543,0.0004561007617396142,0.04557280738564834,0.0004561007617396142,0.04557280738564834,baseline_full,L0,0.0,0.0
1714.6948353875584,1829.0078244133956,1771.8513299004771,416,0.0003268816960510131,0.034913973982375154,0.0003268816960510131,0.034913973982375154,baseline_full,L0,0.0,0.0
1829.0078244133956,1943.3208134392328,1886.164318926314,443,0.00032700075261280317,0.03718002517834662,0.00032700075261280317,0.03718002517834662,baseline_full,L0,0.0,0.0
1943.3208134392328,2057.63380246507,2000.4773079521515,82,5.706959281330191e-05,0.006882081409987411,5.706959281330191e-05,0.006882081409987411,baseline_full,L0,0.0,0.0
0.0,114.31298902583723,57.15649451291861,0,0.0,0.0,0.0,0.0,deform_0276,L_opt,,0.0
114.31298902583723,228.62597805167445,171.46948353875584,286,0.0023222220490290717,0.02400335711288292,0.0023222220490290717,0.02400335711288292,deform_0276,L_opt,0.0,0.0
228.62597805167445,342.9389670775117,285.78247256459304,615,0.0029961536226983474,0.05161561057490558,0.0025723075004629712,0.044313890054553086,deform_0276,L_opt,16.477272727272737,0.7301720520352495
342.9389670775117,457.2519561033489,400.0954615904303,783,0.0027247250715131312,0.06571548468317247,0.0027247250715131312,0.06571548468317247,deform_0276,L_opt,0.0,0.0
457.2519561033489,571.5649451291861,514.4084506162675,1000,0.0027065525046958893,0.0839278220730172,0.0022653844464304595,0.0702475870751154,deform_0276,L_opt,19.474313022700112,1.3680234997901803
571.5649451291861,685.8779341550234,628.7214396421048,980,0.0021701630083107008,0.08224926563155686,0.0018468530091133922,0.06999580360889635,deform_0276,L_opt,17.50599520383694,1.225346202266052
685.8779341550234,800.1909231808606,743.0344286679419,940,0.0017613410915174764,0.07889215274863617,0.0018775146528728845,0.08409567771716324,deform_0276,L_opt,-6.187624750499008,-0.5203524968527065
800.1909231808606,914.5039122066978,857.3474176937792,1043,0.001693760557438687,0.08753671842215695,0.0014988887771005832,0.07746537977339488,deform_0276,L_opt,13.001083423618631,1.0071338648762072
914.5039122066978,1028.816901232535,971.6604067196164,908,0.0013010557099044002,0.07620646244229962,0.0013010557099044002,0.07620646244229962,deform_0276,L_opt,0.0,0.0
1028.816901232535,1143.1298902583721,1085.9733957454537,908,0.001164102477282885,0.07620646244229962,0.001164102477282885,0.07620646244229962,deform_0276,L_opt,0.0,0.0
1143.1298902583721,1257.4428792842095,1200.2863847712908,1040,0.001206349116378736,0.08728493495593789,0.0007899266810133839,0.05715484683172472,deform_0276,L_opt,52.716593245227614,3.0130088124213175
1257.4428792842095,1371.7558683100467,1314.599373797128,1025,0.0010855629067747638,0.08602601762484263,0.0013344480610109292,0.10574905581200168,deform_0276,L_opt,-18.650793650793656,-1.972303818715905
1371.7558683100467,1486.0688573358839,1428.9123628229654,889,0.0008662050636028723,0.0746118338229123,0.0009207691620975414,0.07931179185900127,deform_0276,L_opt,-5.9259259259259265,-0.4699958036088969
1486.0688573358839,1600.3818463617213,1543.2253518488026,504,0.00045470082078890835,0.042299622324800674,0.0004835707141723311,0.044985312631137225,deform_0276,L_opt,-5.970149253731341,-0.2685690306336551
