layout_id,label,count,mean,std,min,1%,5%,50%,95%,99%,max
baseline_full,L0,11915.0,25.403217897292123,4.382477521201471,17.23107550212695,17.235503152252008,17.852068658829488,25.75518349769615,32.05217154889822,32.92181525979391,52.33497969809481
ctrl_radial_expand_015,C_rad+,11915.0,25.784266165751504,4.448214684019498,17.489541634658856,17.494035699535786,18.11984968871193,26.14151125016141,32.532954122131606,33.41564248869094,53.12000439356654
deform_0276,L_opt,11915.0,23.978720223722853,4.141020159307757,16.20892434745614,16.276070549459064,16.818717881058607,24.458320529749123,30.351394044992116,31.311211460640845,48.850653684095995
deform_0893,L_nom,11915.0,25.248475409064653,4.4047737469322605,16.961064534053172,17.099915820918014,17.642344214955585,25.68931913153993,31.76548530386625,33.39648373786005,49.371531055420775
deform_1387,L_rob,11915.0,24.935560595629976,4.511752903668973,16.368308685912023,16.64618331932726,17.304534817916878,25.49581854701548,31.79703391829374,33.517436075155416,52.929861324335235
deform_1822,L_ctrl,11915.0,25.168308499492277,4.360901947365801,17.02485216265993,17.050552671957018,17.64450516125981,25.675590357432878,31.738444613663503,33.064853223198035,52.09417077716941
joint_g02_0333,J_bal,11915.0,24.937611550056136,4.392672640816293,16.625108197957736,16.817809093101733,17.38509593202728,25.485389936299303,31.53613798394745,33.19084943381904,52.36926253983168
joint_g04_0478,J_flux,11915.0,25.555014641765663,4.585799935787713,16.841469515598686,17.10016033169956,17.755767624119375,26.102105750974314,32.39941113586578,34.4023158041699,52.593086437748205
sb_hs_flux,"B_hs,R",11915.0,25.597014823820903,4.483023314704636,17.174427547566253,17.428995333224783,17.946321781894614,26.0737115428764,32.542608404199676,33.4943529556676,50.810463758960715
sb_hy_energy,"B_hy,E",11915.0,24.592637773776875,4.221600539753154,16.49635310661904,16.588193821218418,17.28974211774143,24.984856897625026,31.192052997857125,32.161042877689475,46.881174973862194
sb_pf_flux,"B_pf,R",11915.0,25.700169748197236,4.549436005288728,17.01832903613663,17.380045615111204,17.807619378666583,26.223867387739226,32.60221951177807,33.61572510102192,51.87227656478291
