sector_center_rad,sector_center_deg,heliostat_count,count_share,baseline_sector_count,baseline_sector_share,layout_id,label,delta_sector_count,delta_sector_share_pctpt
-3.0543261909900767,-175.0,279,0.0234158623583718,279,0.0234158623583718,baseline_full,L0,0,0.0
-2.879793265790644,-165.00000000000003,282,0.02366764582459085,282,0.02366764582459085,baseline_full,L0,0,0.0
-2.705260340591211,-155.0,284,0.023835501468736885,284,0.023835501468736885,baseline_full,L0,0,0.0
-2.5307274153917776,-145.0,287,0.02408728493495594,287,0.02408728493495594,baseline_full,L0,0,0.0
-2.356194490192345,-135.0,294,0.024674779689467057,294,0.024674779689467057,baseline_full,L0,0,0.0
-2.181661564992912,-125.00000000000001,293,0.024590851867394042,293,0.024590851867394042,baseline_full,L0,0,0.0
-2.0071286397934793,-115.00000000000003,309,0.025933697020562318,309,0.025933697020562318,baseline_full,L0,0,0.0
-1.8325957145940461,-105.00000000000001,305,0.025597985732270248,305,0.025597985732270248,baseline_full,L0,0,0.0
-1.658062789394613,-95.0,330,0.027696181284095678,330,0.027696181284095678,baseline_full,L0,0,0.0
-1.4835298641951802,-85.0,323,0.027108686529584557,323,0.027108686529584557,baseline_full,L0,0,0.0
-1.308996938995747,-74.99999999999999,349,0.029290809903483005,349,0.029290809903483005,baseline_full,L0,0,0.0
-1.1344640137963142,-65.0,352,0.029542593369702056,352,0.029542593369702056,baseline_full,L0,0,0.0
-0.9599310885968813,-55.0,367,0.030801510700797313,367,0.030801510700797313,baseline_full,L0,0,0.0
-0.7853981633974483,-45.0,378,0.0317247167436005,378,0.0317247167436005,baseline_full,L0,0,0.0
-0.6108652381980153,-35.0,395,0.0331514897188418,395,0.0331514897188418,baseline_full,L0,0,0.0
-0.43633231299858233,-24.999999999999996,383,0.03214435585396559,383,0.03214435585396559,baseline_full,L0,0,0.0
-0.2617993877991496,-15.000000000000009,395,0.0331514897188418,395,0.0331514897188418,baseline_full,L0,0,0.0
-0.0872664625997166,-5.000000000000007,372,0.0312211498111624,372,0.0312211498111624,baseline_full,L0,0,0.0
0.08726646259971638,4.999999999999995,409,0.03432647922786404,409,0.03432647922786404,baseline_full,L0,0,0.0
0.26179938779914935,14.999999999999996,395,0.0331514897188418,395,0.0331514897188418,baseline_full,L0,0,0.0
0.43633231299858233,24.999999999999996,383,0.03214435585396559,383,0.03214435585396559,baseline_full,L0,0,0.0
0.6108652381980153,35.0,392,0.03289970625262274,392,0.03289970625262274,baseline_full,L0,0,0.0
0.7853981633974483,45.0,376,0.03155686109945447,376,0.03155686109945447,baseline_full,L0,0,0.0
0.959931088596881,54.999999999999986,366,0.0307175828787243,366,0.0307175828787243,baseline_full,L0,0,0.0
1.1344640137963138,64.99999999999997,350,0.029374737725556023,350,0.029374737725556023,baseline_full,L0,0,0.0
1.308996938995747,74.99999999999999,346,0.029039026437263953,346,0.029039026437263953,baseline_full,L0,0,0.0
1.4835298641951802,85.0,317,0.026605119597146454,317,0.026605119597146454,baseline_full,L0,0,0.0
1.658062789394613,95.0,328,0.027528325639949645,328,0.027528325639949645,baseline_full,L0,0,0.0
1.8325957145940457,104.99999999999999,303,0.02543013008812421,303,0.02543013008812421,baseline_full,L0,0,0.0
2.007128639793479,115.0,305,0.025597985732270248,305,0.025597985732270248,baseline_full,L0,0,0.0
2.181661564992912,125.00000000000001,289,0.024255140579101973,289,0.024255140579101973,baseline_full,L0,0,0.0
2.356194490192345,135.0,291,0.024422996223248006,291,0.024422996223248006,baseline_full,L0,0,0.0
2.5307274153917776,145.0,285,0.023919429290809903,285,0.023919429290809903,baseline_full,L0,0,0.0
2.7052603405912103,154.99999999999997,283,0.02375157364666387,283,0.02375157364666387,baseline_full,L0,0,0.0
2.8797932657906435,165.0,278,0.023331934536298782,278,0.023331934536298782,baseline_full,L0,0,0.0
3.0543261909900767,175.0,242,0.020310532941670165,242,0.020310532941670165,baseline_full,L0,0,0.0
-3.0543261909900767,-175.0,277,0.023248006714225767,279,0.0234158623583718,deform_0276,L_opt,-2,-0.016785564414603313
