comparison,matched_rows,same_mean_sign_rows,same_mean_sign_fraction,median_abs_mean_shift_pct,p90_abs_mean_shift_pct,max_abs_mean_shift_pct
V8_to_V9,20,9,0.45,2.6158904013838793,4.561027338641278,6.960561283502599
V9_to_V10,20,10,0.5,1.7944024728365089,3.4546122210039125,3.795271276502628
