layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt,matrix,role_label,role_name,strategy_short,layout_rank,matrix_rank,rank_within_matrix
deform_1387,staggered_levels:9:0.380:1,27,-0.6561149046786374,-2.9780597892218315,-16.474150863816337,10.005178670333274,0.7037037037037037,0.0214896763286806,-0.0433333333333285,V8,$L_{rob}$,receiver-risk,S9-p1,0,0,1
deform_1387,five_point,27,-5.652895205922393,-3.414244651915336,-14.052004002868491,6.7303717456752405,0.5555555555555556,0.181282049859943,0.0238888888888899,V9,$L_{rob}$,receiver-risk,five-point,0,1,1
deform_1387,staggered_levels:9:0.380:1,27,-0.4015038463040487,-2.6933967591929275,-15.530900498667132,7.2122556094699055,0.6296296296296297,0.0138846719859205,-0.0061111111111067,V10,$L_{rob}$,receiver-risk,S9-p1,0,2,1
deform_0893,staggered_levels:9:0.380:2,27,-0.3637140512742586,-2.7797164772878897,-16.481308205021925,10.864718171352813,0.5555555555555556,-0.6898704915584091,-0.1166666666666649,V8,$L_{nom}$,nominal-proxy,S9-p2,1,0,2
deform_0893,staggered_levels:9:0.380:1,27,-6.736606709345681,-3.0409839147296056,-13.170989367156803,8.049529714794149,0.5555555555555556,-0.3862958492246225,-0.2316666666666633,V9,$L_{nom}$,nominal-proxy,S9-p1,1,1,2
deform_0893,five_point,27,-6.424366393954088,-2.33069943527397,-13.525310021381085,15.60399216460566,0.5925925925925926,-0.829712081700975,-0.2633333333333376,V10,$L_{nom}$,nominal-proxy,five-point,1,2,3
deform_1822,staggered_levels:9:0.380:0,27,-8.621794883155614,-2.3212076086662186,-9.918966306621256,9.229074946948746,0.7407407407407407,0.2759964344406929,0.1366666666666627,V8,$L_{ctrl}$,default-flux-control,S9-p0,2,0,3
deform_1822,five_point,27,-0.2767292801776886,-2.373042578075766,-13.848408719584484,10.860353160893297,0.5555555555555556,-0.0809087898542479,0.0033333333333329,V9,$L_{ctrl}$,default-flux-control,five-point,2,1,3
deform_1822,staggered_levels:9:0.380:0,27,-0.5612687499998843,-2.476488947081819,-13.312301950490363,7.740678241056411,0.6666666666666666,-0.0152272598112303,-0.0933333333333341,V10,$L_{ctrl}$,default-flux-control,S9-p0,2,2,2
deform_0276,staggered_levels:9:0.380:0,27,-0.4011775990212885,-0.817246252750809,-13.93619206987468,9.862521581682698,0.6666666666666666,0.64967317917498,1.3566666666666616,V8,$L_{opt}$,optical-upper,S9-p0,3,0,4
deform_0276,staggered_levels:9:0.380:1,27,-0.6727101100838383,-0.3984350745631397,-9.52240821744471,7.3527917341594415,0.6666666666666666,0.9097155306920204,1.1694444444444452,V9,$L_{opt}$,optical-upper,S9-p1,3,1,4
deform_0276,five_point,27,-0.1135362617201874,-0.3057752022829927,-12.669511862547592,14.752103273523124,0.5555555555555556,0.992000017679719,1.0949999999999904,V10,$L_{opt}$,optical-upper,five-point,3,2,4
