layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id,baseline_peak_to_active_mean,baseline_active_flux_cv,baseline_receiver_intercept_per_requested_ray,baseline_total_receiver_power_proxy_w,delta_peak_to_active_mean_pct_vs_baseline_same_strategy,delta_active_cv_pct_vs_baseline_same_strategy,delta_receiver_intercept_pctpt_vs_baseline_same_strategy,matrix
baseline_full,staggered_levels:9:0.380:8,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,73f7aa43eebe6ceec83be80542d4e952e7e6c051842fb2c6191cfa76757e3eb0,11915,6000,60000,116598,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.736933469772339,39498.0,0.6583,2051902.505423305,769429.6243968669,2.666783862178079,0.2680427836464999,8104604515.920971,d20_h10,2.666783862178079,0.2680427836464999,0.6583,8104604515.920971,0.0,0.0,0.0,V8
deform_0276,visible_equator,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116524,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.9019293785095215,43638.0,0.7273,2438913.7753965985,825154.2794553217,2.9557063886362047,0.3213446915376061,8869109944.22973,d20_h10,3.4992403964407144,0.3085173204005228,0.7132833333333334,8761912740.15614,-15.532914182099931,4.157747487379489,1.4016666666666566,V8
deform_0276,five_point,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116577,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.550052165985107,39337.0,0.6556166666666666,2039622.851286294,759001.7135107821,2.6872440667517936,0.2667778809363998,8023264410.104895,d20_h10,2.414252368529452,0.2673319471238524,0.6457166666666667,7908245866.764011,11.307504624656277,-0.2072577532964586,0.9899999999999908,V8
deform_0276,staggered_levels:9:0.380:0,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116633,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.885859966278076,40293.0,0.67155,2232184.6837171656,769650.2320019241,2.900258573184689,0.2861790589852962,8176492496.455976,d20_h10,2.9171638564634668,0.280159898661572,0.6600666666666667,8067846982.446531,-0.5795109260428145,2.1484731942294397,1.148333333333329,V8
deform_0276,staggered_levels:9:0.380:1,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116590,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.929158926010132,40274.0,0.6712333333333333,2438992.706310905,767263.1794245837,3.178821520068317,0.2741733065670762,8185666021.163784,d20_h10,2.931932287732705,0.2765785673385931,0.6533833333333333,8030854077.84881,8.420700347296702,-0.8696482864387324,1.7850000000000033,V8
deform_0276,staggered_levels:9:0.380:2,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116468,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,8.16366457939148,40014.0,0.6669,2034795.8924154963,764867.604228029,2.660324324324325,0.2728954383865441,8142032283.911367,d20_h10,2.661966209924172,0.275746062678493,0.6534,7992216395.976637,-0.0616794305549725,-1.0337860364202451,1.3500000000000068,V8
deform_0276,staggered_levels:9:0.380:3,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116555,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.896601915359497,40045.0,0.6674166666666667,2031410.594410356,764110.3670852693,2.658530340530852,0.2683495145706616,8134783725.316268,d20_h10,2.657991739574544,0.2719383826652083,0.6540166666666667,8081005150.232348,0.0202634548591256,-1.3197357649085868,1.3399999999999967,V8
deform_0276,staggered_levels:9:0.380:4,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116514,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.045922756195068,39932.0,0.6655333333333333,2255489.979167373,770837.8694464755,2.9260238353196097,0.2761986431433111,8187838713.464685,d20_h10,2.9328398384925984,0.2741737806051311,0.6527166666666666,8026424313.870571,-0.2324028432623834,0.7385325225887489,1.2816666666666698,V8
deform_0276,staggered_levels:9:0.380:5,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116589,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.831653833389282,39918.0,0.6653,2048578.499519653,772570.4590944243,2.651639698883793,0.2743560031719715,8177515654.382551,d20_h10,2.6690724405239243,0.2754657649473701,0.65275,7981166543.792139,-0.6531385726162408,-0.4028674037264101,1.254999999999995,V8
deform_0276,staggered_levels:9:0.380:6,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116534,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.68207311630249,40019.0,0.6669833333333334,2031636.3114605865,766999.0421309005,2.648812058247467,0.2708356874812387,8130405354.834119,d20_h10,2.946175385572691,0.2743228171697829,0.6523833333333333,7989306709.428369,-10.09319841518604,-1.271177412262414,1.4600000000000055,V8
deform_0276,staggered_levels:9:0.380:7,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116514,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.80413818359375,40079.0,0.6679833333333334,2243303.2192946183,771629.8509612291,2.9072271070126527,0.2755204418597003,8173577247.828093,d20_h10,2.6434220299733475,0.2835680363810979,0.6576166666666666,7994827573.239295,9.979680658179468,-2.8379766013480143,1.0366666666666746,V8
deform_0276,staggered_levels:9:0.380:8,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,03237dd812189c01c31771ca47e572799a20f306a85e35bfe793e8d0f3bcd894,11915,6000,60000,116585,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.241246223449707,40336.0,0.6722666666666667,2445620.4880425725,769978.4529802916,3.176219384550974,0.2792247098705923,8220545667.140434,d20_h10,2.666783862178079,0.2680427836464999,0.6583,8104604515.920971,19.102992544615773,4.171694560089074,1.3966666666666685,V8
deform_0893,visible_equator,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116492,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.9425208568573,42877.0,0.7146166666666667,2430079.9576737816,811519.3306646064,2.9944819129368487,0.3129001473462034,8682878195.43156,d20_h10,3.4992403964407144,0.3085173204005228,0.7132833333333334,8761912740.15614,-14.424801565999454,1.4206096889441182,0.1333333333333297,V8
