layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt,matrix
deform_1387,staggered_levels:9:0.380:1,27,-0.6561149046786374,-2.9780597892218315,-16.474150863816337,10.005178670333274,0.7037037037037037,0.0214896763286806,-0.0433333333333285,V8
deform_0893,staggered_levels:9:0.380:2,27,-0.3637140512742586,-2.7797164772878897,-16.481308205021925,10.864718171352813,0.5555555555555556,-0.6898704915584091,-0.1166666666666649,V8
deform_1822,staggered_levels:9:0.380:0,27,-8.621794883155614,-2.3212076086662186,-9.918966306621256,9.229074946948746,0.7407407407407407,0.2759964344406929,0.1366666666666627,V8
deform_1822,staggered_levels:9:0.380:1,27,-0.5905146313487442,-2.3198815535227175,-16.050659238132763,10.838455456493197,0.5925925925925926,-0.964936188095306,0.1883333333333348,V8
deform_0893,staggered_levels:9:0.380:3,27,-0.1766848888442896,-2.003570282599295,-16.925183285222403,11.237099951406982,0.5555555555555556,-0.7175385322862665,-0.1299999999999967,V8
deform_0893,staggered_levels:9:0.380:0,27,-0.7174483626072176,-1.9589945245862308,-17.373043382309763,10.816024187193095,0.5925925925925926,-0.0255312448550966,-0.1916666666666677,V8
deform_1822,staggered_levels:9:0.380:6,27,-0.0235353140378162,-1.9545652042800936,-18.340344864735904,10.588791305937438,0.5185185185185185,-1.6734473184251333,0.1083333333333436,V8
deform_1822,staggered_levels:9:0.380:7,27,-8.056536413736614,-1.635789763928128,-9.95731354677927,13.766517301996409,0.6296296296296297,-0.7115080177424203,0.0583333333333269,V8
deform_0893,visible_equator,27,0.2871646856743002,-1.5866048508675483,-15.495595163793483,9.99094155165708,0.4074074074074074,-0.673853170892395,-0.1983333333333337,V8
deform_1822,staggered_levels:9:0.380:4,27,-0.3036924766582434,-1.410607658109673,-10.08740718111784,10.867393491119094,0.7037037037037037,-0.1600641740844968,0.1099999999999989,V8
deform_0893,staggered_levels:9:0.380:1,27,-0.3425253351162404,-1.2238860494234,-17.17481754257728,15.41121240747837,0.5925925925925926,-0.3206997070640475,-0.2533333333333387,V8
deform_0276,staggered_levels:9:0.380:0,27,-0.4011775990212885,-0.817246252750809,-13.93619206987468,9.862521581682698,0.6666666666666666,0.64967317917498,1.3566666666666616,V8
deform_1387,staggered_levels:9:0.380:6,27,-0.3089636875567295,-0.5395632050053983,-10.188123322564806,13.272573137877457,0.6666666666666666,-0.0140097589876858,0.0600000000000044,V8
deform_0276,staggered_levels:9:0.380:4,27,-0.5124596840222801,-0.0558317139142615,-10.098833345635056,10.364230874151392,0.6296296296296297,0.7385325225887489,1.2816666666666698,V8
deform_0893,staggered_levels:9:0.380:6,27,-0.7348976609455563,0.459354712228451,-10.461304563194282,21.103146367075624,0.5925925925925926,-0.418768018134007,0.0349999999999961,V8
deform_0893,staggered_levels:9:0.380:8,27,0.0776762166263075,0.7648481340231059,-12.764034258486408,11.303838334879677,0.4814814814814814,0.1545731962324656,-0.1049999999999995,V8
deform_0276,staggered_levels:9:0.380:2,27,-0.2532547444109577,0.7792635829653213,-12.33307772941292,10.953230576187757,0.6666666666666666,0.7751166787405129,1.419999999999999,V8
deform_1387,staggered_levels:9:0.380:7,27,-0.245923147983527,0.998844900318333,-9.652570479154342,10.26903964315652,0.5555555555555556,-0.0943098839411804,-0.0433333333333285,V8
deform_1822,visible_equator,27,0.1534620943371319,1.0193273441817354,-13.58086831754704,16.933059640934736,0.4814814814814814,-0.2987202741098827,0.1316666666666632,V8
deform_1822,staggered_levels:9:0.380:5,27,0.1252759788967312,1.4346089403735849,-10.153373116972311,10.764671769505734,0.3703703703703703,-0.4983744229502771,0.1416666666666621,V8
deform_0276,staggered_levels:9:0.380:8,27,-0.3182408240920725,1.6520277164638235,-9.501670191110236,11.430667172931049,0.5925925925925926,1.1351040423204954,1.313333333333333,V8
deform_1387,staggered_levels:9:0.380:2,27,0.30849047622587,1.726753375328087,-16.709817863385968,11.41467165054466,0.3703703703703703,-0.0945026794220475,0.0533333333333385,V8
deform_1387,staggered_levels:9:0.380:0,27,0.4878336899682836,1.767828804938108,-10.115910724797764,11.012913830114249,0.4444444444444444,-0.235939852038088,-0.2550000000000052,V8
deform_0276,staggered_levels:9:0.380:6,27,-0.2982956332848429,1.9310045280655543,-10.091897828341146,19.991113610219436,0.5925925925925926,0.4702697423317964,1.3116666666666663,V8
deform_0893,staggered_levels:9:0.380:7,27,0.7959216648243321,2.0171954455124035,-13.077984896851122,14.51633675029557,0.4074074074074074,-0.209396383434901,-0.0933333333333341,V8
deform_1387,visible_equator,27,-0.0327630045229696,2.0186554143921365,-11.706701793847325,18.383144928485088,0.5185185185185185,0.6780477584754623,-0.0466666666666615,V8
deform_1822,staggered_levels:9:0.380:8,27,0.4284230953478524,2.09236637517635,-17.194743576144596,20.36408942259519,0.4074074074074074,-0.0168980402152142,0.0850000000000017,V8
deform_0276,visible_equator,27,-0.9500490147093228,2.0955376200784306,-15.560947262743507,17.489321958043565,0.5555555555555556,1.2116746889278474,1.3983333333333348,V8
deform_1387,staggered_levels:9:0.380:3,27,0.5630956267587125,2.1774548106239715,-11.712929260578557,11.427110776643213,0.4814814814814814,-0.2089529926306098,0.0150000000000094,V8
deform_0276,staggered_levels:9:0.380:3,27,-0.5802816832863775,2.235542141212152,-9.82945247351487,19.241329489484247,0.6296296296296297,0.7834547934169551,1.365000000000005,V8
deform_1822,staggered_levels:9:0.380:3,27,0.0946081809308417,2.4801173530808276,-9.192348770598649,22.267351268111103,0.4444444444444444,-0.9363907037763668,0.2566666666666717,V8
deform_1387,staggered_levels:9:0.380:8,27,0.26651032614897,2.6425662708627766,-9.131715793851,20.506838982664288,0.3333333333333333,0.1879409742216541,-0.2366666666666628,V8
deform_0893,five_point,27,0.4576308558472906,2.7220982003166685,-9.54480269603092,11.534261974387215,0.3703703703703703,-0.0873697710131125,-0.0983333333333336,V8
deform_0893,staggered_levels:9:0.380:5,27,0.4166137206476784,2.7371460194667816,-9.808091820732958,18.85678963880231,0.3703703703703703,-1.0914383521744373,-0.0799999999999911,V8
deform_1387,five_point,27,0.4189338848034469,2.828881031848968,-9.997244821915734,11.376746138635532,0.4074074074074074,0.4199757214353348,-0.1983333333333337,V8
deform_1822,staggered_levels:9:0.380:2,27,0.8369002366542974,2.9369833047719016,-16.51561052957317,11.132360238603312,0.3703703703703703,-0.01004946225136,0.2233333333333309,V8
deform_0893,staggered_levels:9:0.380:4,27,0.2917860129982098,3.065260403078037,-9.769848094253833,19.926937486215856,0.4074074074074074,0.3688410853315624,-0.1249999999999973,V8
deform_0276,staggered_levels:9:0.380:5,27,0.2677448689129587,3.1157250294520336,-10.240933136814968,10.843730148258349,0.4444444444444444,0.8572838783110616,1.303333333333334,V8
deform_0276,staggered_levels:9:0.380:7,27,-0.3021058886481264,3.2039295996551207,-9.842473115351618,21.413951723685493,0.5185185185185185,0.7814055982185418,1.2499999999999956,V8
deform_1387,staggered_levels:9:0.380:4,27,0.1422420328940106,3.304930449060326,-9.352573812245437,14.788950941730413,0.4444444444444444,0.0801174802802867,-0.0266666666666637,V8
deform_1387,staggered_levels:9:0.380:5,27,0.0433140724037584,3.484986216071651,-10.14253303376248,19.63767460683676,0.4814814814814814,0.0369442817713614,-0.0283333333333302,V8
deform_0276,staggered_levels:9:0.380:1,27,-0.1260482532245295,3.696729298172099,-9.20266791150678,19.993569319234755,0.5185185185185185,0.3981927635910197,1.4149999999999996,V8
deform_1822,five_point,27,0.918765314368219,4.587518705426834,-12.72967148707139,21.218766796857793,0.1851851851851851,0.211963003369737,0.2299999999999968,V8
