layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt,label,role,family,strategy_short,delta_opteff_pct,delta_default_flux_ratio_pct,delta_aiming_proxy_pct
ctrl_radial_compact_015,staggered_levels:9:0.380:5,27,-0.540545774064752,-1.4428858273735603,-12.709930913096898,10.38837152807458,0.6666666666666666,0.6168088287944598,0.4266666666666641,$C_{rad-}$,same-condition control,control,S9-p5,0.8860166197671937,1.0714652097701949,-0.1062998512432078
ctrl_radial_expand_015,visible_equator,27,-7.17174720294949,-2.433995629350954,-14.466736391809397,9.957267322777,0.5555555555555556,-0.5701695108509602,-0.5383333333333407,$C_{rad+}$,same-condition control,control,visible,-0.8917893547316647,-1.0441980418615548,0.1037428254957451
ctrl_ring_wave_012,five_point,27,-0.0812967185900528,-2.303358272645762,-15.96376957213932,10.528279423517814,0.5555555555555556,-0.0161319506779402,-0.2550000000000052,$C_{wave}$,same-condition control,control,five-point,-0.0134147976086684,0.1502387827748696,-2.381604789289604
deform_0276,five_point,27,-0.4937631293524949,-1.19695958334366,-16.67211609393424,21.245586431438205,0.7407407407407407,1.345847373273248,1.368333333333338,$L_{opt}$,TS-FPDA optical-upper,tsfpda,five-point,3.1475413932443574,4.678843500684682,-5.475384884826329
deform_0893,staggered_levels:9:0.380:0,27,-0.1939109767562981,-3.4910411064925815,-16.739997336018085,10.329091158983823,0.5185185185185185,-0.7697685253238011,-0.2216666666666644,$L_{nom}$,TS-FPDA nominal-proxy,tsfpda,S9-p0,0.2421519282192807,1.399029550883979,-6.223448854885538
deform_1387,staggered_levels:9:0.380:2,27,-0.7217625114828876,-3.605052345784554,-10.428748280845657,1.069406928031287,0.5925925925925926,0.3280447639307912,-0.1116666666666654,$L_{rob}$,TS-FPDA receiver-risk,tsfpda,S9-p2,0.7061177813971087,2.3771171626310483,-5.3414241879948365
deform_1822,five_point,27,0.2862976924834314,-0.8778123311453488,-16.183428029540508,11.227887056065631,0.4444444444444444,-0.1558190303847546,0.1199999999999978,$L_{ctrl}$,TS-FPDA default-flux-control,tsfpda,five-point,0.5062006329545454,0.896828566400476,-3.328285859530844
