layout_id,proxy_best_strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,best_condition_delta_pct,worst_condition_delta_pct,label,role,family,strategy_short
ctrl_radial_compact_015,staggered_levels:9:0.380:0,27,-0.1366164921003061,-0.6417161297691741,-12.587459554040334,10.743121670579445,0.5555555555555556,-18.738437286175824,33.587962720593254,$C_{rad-}$,same-condition control,control,S9-p0
ctrl_radial_expand_015,staggered_levels:9:0.380:0,27,0.2449458015293876,-1.1957071703725797,-9.892936042762845,9.972486226903504,0.4444444444444444,-18.43076550907308,23.43503512216393,$C_{rad+}$,same-condition control,control,S9-p0
ctrl_ring_wave_012,staggered_levels:9:0.380:1,27,0.2509583902938582,1.3343342574501205,-9.368031892870636,14.273995232383816,0.4074074074074074,-17.72097532946201,23.44255338775884,$C_{wave}$,same-condition control,control,S9-p1
deform_0276,staggered_levels:9:0.380:0,27,-0.5439866236097607,1.6168789130072412,-9.619239587442838,13.175911161647296,0.7037037037037037,-19.01567429328449,55.65791598176133,$L_{opt}$,TS-FPDA optical-upper,tsfpda,S9-p0
deform_0893,staggered_levels:9:0.380:2,27,0.2844156862141229,2.113676355278793,-12.478901697821184,15.102420037614458,0.3703703703703703,-18.813182924590315,30.514267263250105,$L_{nom}$,TS-FPDA nominal-proxy,tsfpda,S9-p2
deform_1387,staggered_levels:9:0.380:1,27,0.0349694266399505,-0.4036584993048298,-12.742774663812153,14.015636577336446,0.4814814814814814,-31.19648705328967,20.179493358256952,$L_{rob}$,TS-FPDA receiver-risk,tsfpda,S9-p1
deform_1822,staggered_levels:9:0.380:1,27,-0.2603543771257712,-0.7338651486848117,-10.086111840507552,10.348060360344189,0.5185185185185185,-22.880995350098782,33.57996423093687,$L_{ctrl}$,TS-FPDA default-flux-control,tsfpda,S9-p1
