candidate,layout_id,role,proxy_delta_energy_pct,proxy_delta_receiver_pct,proxy_best_strategy,solarpilot_delta_opteff_pct,solarpilot_delta_default_flux_ratio_pct,solarpilot_delta_active_cv_pct,direct_proxy_strategy,direct_proxy_delta_ci_pct,direct_best_strategy,direct_best_delta_ci_pct,direct_lower_fraction
$J_{bal}$,joint_g02_0333,directional balance candidate,0.0015035385078521,-4.3160788315902865,staggered_levels:9:0.380:2,0.9150446237160548,1.7801231846670262,0.0750739654803434,S9-p2,"-1.98 [-6.53, +3.11]",S9-p2,"-1.98 [-6.55, +3.10]",0.7037037037037037
$J_{gain}$,joint_g02_0303,strategy-sensitive energy-gated candidate,0.0911057926839653,-3.46836368321205,staggered_levels:9:0.380:3,1.643944908874051,2.4038793724937113,-0.18309314121138787,S9-p3,"+2.58 [-1.67, +6.66]",S9-p2,"-2.49 [-6.74, +2.04]",0.6296296296296297
$J_{flux}$,joint_g04_0478,direct-supported receiver-boundary candidate,-0.1952687489582216,-7.222243156252162,staggered_levels:9:0.380:5,-0.6918775445482028,1.0067566335204114,0.7683193183223969,S9-p5,"-4.06 [-6.99, -0.94]",S9-p5,"-4.06 [-6.99, -0.94]",0.7407407407407407
