layout_id,proxy_strategy,direct_mean_delta_peak_pct,direct_median_delta_peak_pct,direct_share_lower_peak
deform_1387,staggered_levels:9:0.380:1,-2.9780597892218315,-0.6561149046786374,0.7037037037037037
deform_0893,staggered_levels:9:0.380:2,-2.7797164772878897,-0.3637140512742586,0.5555555555555556
deform_1822,staggered_levels:9:0.380:1,-2.3198815535227175,-0.5905146313487442,0.5925925925925926
deform_0276,staggered_levels:9:0.380:0,-0.817246252750809,-0.4011775990212885,0.6666666666666666
