layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt
deform_0893,staggered_levels:9:0.380:1,27,-5.480695263955429,-3.408117440665546,-11.695570257507404,6.5430996281105465,0.5555555555555556,-0.2526000468456186,-0.23541666666666572
deform_0893,visible_equator,27,-4.442136980925435,-2.5863859640320404,-11.123929363479414,5.8160177673342055,0.6296296296296297,-0.37018217918268614,-0.1087500000000019
deform_1822,staggered_levels:9:0.380:1,27,-4.856078610875636,-2.1318801693679106,-11.596624056305256,8.991163445278854,0.7407407407407407,0.146653904305869,-0.10375000000000245
deform_0893,staggered_levels:9:0.380:2,27,0.3461293851021987,-0.5553301388175312,-10.819951026373415,7.079496858281013,0.4444444444444444,-0.9506117831707126,-0.2366666666666739
deform_0893,five_point,27,0.14902522040461608,-0.47322791029818334,-13.477652622098114,9.775399232041899,0.4444444444444444,-0.699632628621688,-0.19500000000000073
deform_0276,staggered_levels:9:0.380:2,27,-0.4549293036329013,-0.38565858533212594,-8.779359687509869,8.366072899682388,0.7037037037037037,1.0852150236239386,1.186666666666658
deform_1822,staggered_levels:9:0.380:2,27,0.2882551332411141,-0.16736089524910422,-13.653141564583366,9.594174029635985,0.4074074074074074,0.029651966382357647,-0.098750000000003
deform_1387,staggered_levels:9:0.380:1,27,-0.2512460900066997,-0.036868834991059626,-8.078227708194609,8.876772417299856,0.6296296296296297,0.008670982362915731,0.01875000000000071
deform_1822,five_point,27,-0.0012918797315489598,0.3165564865986776,-11.17134994655862,9.464694106025869,0.5185185185185185,-0.20575665040873822,-0.08166666666666877
deform_1822,visible_equator,27,0.08425442027916002,0.5655687521371677,-7.121817279904853,10.034357449692052,0.4074074074074074,0.12132774220600673,-0.03583333333333494
deform_0276,visible_equator,27,-0.432073764824331,0.6024325349237942,-10.877563898214763,14.46706287563779,0.5185185185185185,1.7941901417720019,1.287500000000008
deform_1387,visible_equator,27,-0.0036948123677651473,0.7932188421344704,-9.336352186095915,12.560713140366943,0.5185185185185185,0.37390494050047607,0.020416666666667194
deform_1387,staggered_levels:9:0.380:2,27,0.1818865296413115,1.0245338265892523,-11.277809525486818,12.673810386432804,0.37037037037037035,-0.2589241486984504,0.044166666666667354
deform_1387,five_point,27,-0.02222842692094195,1.9483445705733782,-11.210939901821293,20.13459711599783,0.5185185185185185,-0.05507457420667832,-0.026249999999994333
deform_0276,staggered_levels:9:0.380:1,27,-0.4227991075043071,2.118991231881369,-11.78494586565437,13.89976969615229,0.5925925925925926,1.8437442479865163,1.1983333333333346
deform_1822,staggered_levels:9:0.380:0,27,0.16340449102116206,2.3217712942419984,-5.811188291084911,12.656846029351298,0.4444444444444444,0.253131742553827,-0.09416666666666185
deform_1387,staggered_levels:9:0.380:0,27,0.11019212808992304,2.8237438687650163,-5.882789434212853,13.013016963874039,0.4444444444444444,0.05575266527521835,-0.09291666666666476
deform_0893,staggered_levels:9:0.380:0,27,5.46267031551617,3.0018874346879216,-6.01791023256502,14.606214209816734,0.2962962962962963,0.29296749325306054,-0.17083333333333117
deform_0276,staggered_levels:9:0.380:0,27,5.358386775526442,3.4039709171551844,-8.922962712297307,14.157639035248371,0.4074074074074074,1.6986307597475743,1.1254166666666676
deform_0276,five_point,27,-0.2653034718773716,3.4065922416330827,-6.69956997045818,15.626482332501066,0.5925925925925926,1.1286604833029634,1.13375
