layout_id,role,role_label,strategy,strategy_short,cases,mean_delta_peak_pct,median_delta_peak_pct,ci95_low_mean_delta_pct,ci95_high_mean_delta_pct,share_lower_peak,evidence_grade
deform_0276,optical-upper,$L_{opt}$,visible_equator,visible,27,0.6024325349237946,-0.432073764824331,-3.0352669385093036,4.135683314099317,0.5185185185185185,not supported
deform_0276,optical-upper,$L_{opt}$,five_point,five-point,27,3.406592241633083,-0.2653034718773716,-0.5270419396108089,7.573141148704271,0.5925925925925926,not supported
deform_0276,optical-upper,$L_{opt}$,staggered_levels:9:0.380:0,S9-p0,27,3.403970917155184,5.358386775526442,0.251326204734378,6.4840020173995745,0.4074074074074074,not supported
deform_0276,optical-upper,$L_{opt}$,staggered_levels:9:0.380:1,S9-p1,27,2.118991231881369,-0.4227991075043071,-1.621611466570299,5.938571787345994,0.5925925925925926,not supported
deform_0276,optical-upper,$L_{opt}$,staggered_levels:9:0.380:2,S9-p2,27,-0.38565858533212577,-0.4549293036329013,-3.650122973071688,3.1003036000330333,0.7037037037037037,directional reduction
deform_0893,nominal-proxy,$L_{nom}$,visible_equator,visible,27,-2.5863859640320404,-4.442136980925435,-5.1881965178825915,0.032236545296413496,0.6296296296296297,directional reduction
deform_0893,nominal-proxy,$L_{nom}$,five_point,five-point,27,-0.4732279102981832,0.149025220404616,-4.264741780819208,3.3748927884287654,0.4444444444444444,weak reduction
deform_0893,nominal-proxy,$L_{nom}$,staggered_levels:9:0.380:0,S9-p0,27,3.001887434687922,5.46267031551617,-0.16817035155572224,6.125192263460915,0.2962962962962963,not supported
deform_0893,nominal-proxy,$L_{nom}$,staggered_levels:9:0.380:1,S9-p1,27,-3.408117440665546,-5.480695263955429,-6.315517664987524,-0.43347079305354685,0.5555555555555556,weak reduction
deform_0893,nominal-proxy,$L_{nom}$,staggered_levels:9:0.380:2,S9-p2,27,-0.5553301388175311,0.3461293851021987,-3.5420824105500803,2.3477595197054315,0.4444444444444444,weak reduction
deform_1387,receiver-risk,$L_{rob}$,visible_equator,visible,27,0.7932188421344702,-0.0036948123677651,-2.809065326099742,4.365596264282144,0.5185185185185185,not supported
deform_1387,receiver-risk,$L_{rob}$,five_point,five-point,27,1.9483445705733782,-0.0222284269209419,-2.1075108397396876,6.328798839682717,0.5185185185185185,not supported
deform_1387,receiver-risk,$L_{rob}$,staggered_levels:9:0.380:0,S9-p0,27,2.823743868765017,0.110192128089923,0.29945703788328815,5.550135315109229,0.4444444444444444,not supported
deform_1387,receiver-risk,$L_{rob}$,staggered_levels:9:0.380:1,S9-p1,27,-0.036868834991059495,-0.2512460900066997,-3.003442728620991,3.21241278156612,0.6296296296296297,directional reduction
deform_1387,receiver-risk,$L_{rob}$,staggered_levels:9:0.380:2,S9-p2,27,1.0245338265892523,0.1818865296413115,-2.7312016282399334,4.6713793698229065,0.37037037037037035,not supported
deform_1822,default-flux-control,$L_{ctrl}$,visible_equator,visible,27,0.5655687521371678,0.08425442027916,-2.3033097607947077,3.232795705494681,0.4074074074074074,not supported
deform_1822,default-flux-control,$L_{ctrl}$,five_point,five-point,27,0.3165564865986777,-0.0012918797315489,-2.5641011897581745,3.276939966093549,0.5185185185185185,not supported
deform_1822,default-flux-control,$L_{ctrl}$,staggered_levels:9:0.380:0,S9-p0,27,2.3217712942419984,0.163404491021162,-0.1325605540106021,4.92855610634803,0.4444444444444444,not supported
deform_1822,default-flux-control,$L_{ctrl}$,staggered_levels:9:0.380:1,S9-p1,27,-2.131880169367911,-4.856078610875636,-5.467566119316412,1.45047336936942,0.7407407407407407,directional reduction
deform_1822,default-flux-control,$L_{ctrl}$,staggered_levels:9:0.380:2,S9-p2,27,-0.16736089524910422,0.2882551332411141,-3.8585932762559056,3.4164155554243676,0.4074074074074074,weak reduction
