layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id
baseline_full,visible_equator,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466413,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.565382957458496,170818.0,0.7117416666666667,2896890.6482489603,1022837.6701740536,2.8322095799971896,0.2966399493708008,24742053337.629547,d20_h10
baseline_full,five_point,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466505,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.780677795410156,153724.0,0.6405166666666666,2457919.7624499053,921777.806798583,2.666499176180517,0.2444399891944226,22225956327.226418,d20_h10
baseline_full,staggered_levels:9:0.380:0,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466514,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.136296033859251,156905.0,0.6537708333333333,2322036.7686441503,933303.3508769164,2.487976461739265,0.2482611245019818,22771198699.006897,d20_h10
baseline_full,staggered_levels:9:0.380:1,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466388,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.85996437072754,156532.0,0.6522166666666667,2459653.743046595,933211.7006410108,2.6356867807777067,0.2510600096686982,22647912923.91585,d20_h10
baseline_full,staggered_levels:9:0.380:2,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466323,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.877643823623655,156227.0,0.6509458333333333,2606413.546115694,934675.4008578946,2.7885761663604174,0.2545805618984557,22621787170.50092,d20_h10
deform_0276,visible_equator,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466625,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.245002269744871,173734.0,0.7238916666666667,3023777.645102121,1030817.8622400992,2.9333772297378173,0.302938733636976,25015856447.34153,d20_h10
deform_0276,five_point,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466797,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.935181856155396,156316.0,0.6513166666666667,2446949.0947163776,921528.4519052086,2.6553158393074536,0.2471988867578501,22499840864.099133,d20_h10
deform_0276,staggered_levels:9:0.380:0,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466733,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.501219034194946,158862.0,0.661925,2449502.443538352,934463.8335392004,2.621291863443312,0.2533408073400844,22890168069.72881,d20_h10
deform_0276,staggered_levels:9:0.380:1,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466862,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.077888250350952,159294.0,0.663725,2450244.983773124,931875.8851851452,2.6293683769768426,0.2516055802272214,22959372026.18565,d20_h10
deform_0276,staggered_levels:9:0.380:2,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466898,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.233890295028688,159258.0,0.663575,2443017.3852148466,932871.052137132,2.618815729803269,0.2570935231214943,22886474278.50271,d20_h10
