candidate_id,heliostat_count,annual_energy_proxy_gwh,energy_ratio_vs_baseline,capex_proxy_musd,lcoe_proxy_cent_kwh,flux_risk_index,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,terrain_slope_mean_pct,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,ellipse_axis_ratio,extent_x_ratio,extent_y_ratio,is_publishable_geometry,x_scale,y_scale,radial_scale,radial_wave,twist,az_wave,petal_amp,petal_order,petal_phase,petal_twist,north_bias
baseline_full,11915,448.202656,1.0,843.629332,15.240140256442567,1.0,17.231075502126952,35.19410000000016,1.2764279656218551,1.0092745113332118,1.0,1.0,1.0,1.0062608318340642,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0001,11915,448.8021759678081,1.00133760913681,843.621568,15.219642067711252,0.9973941974792392,16.714143237063144,34.0482770000001,1.279047291223564,1.0103269517643076,0.9699999999999999,1.0,1.0,1.0062608318340645,0.9699999999999999,0.97,1,0.97,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0002,11915,448.4795780863181,1.0006178501680234,843.621568,15.230589777546847,1.0024370483429876,16.71564555660681,34.54916469230784,1.278251656616399,1.0095314836044922,0.9699999999999999,1.0,1.0,1.0270084778512614,0.9699999999999999,0.9899999999999999,1,0.97,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0003,11915,448.13689883092366,0.9998532869714267,843.6236330261538,15.24227354475373,1.0135710200944732,16.716536636938557,35.05162565384603,1.2772276613019273,1.0086989118452916,0.9699999999999999,1.0,1.0,1.047756123868459,0.9699999999999999,1.0,1,0.97,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0004,11915,447.7793442098391,0.9990555348468063,843.6437458876924,15.254808277757057,1.0229347418287367,16.717445489945796,35.55444719230741,1.2765384732894343,1.0078344142305597,0.9699999999999999,1.0,1.0,1.0685037698856559,0.9699999999999999,1.0,1,0.97,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0005,11915,448.42957118811654,1.0005062780978178,843.621568,15.232288226091482,0.9913438428136373,16.714916533518103,34.31208169230763,1.2775207567451232,1.0103668182701309,0.97,1.0,1.0,1.0142683928587357,0.99,0.97,1,0.99,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0006,11915,448.4156129184159,1.0004751353334593,843.621568,15.232762376368797,0.9981064743430208,17.05876474710568,34.812159000000065,1.277361669280563,1.0096015471556405,0.9899999999999999,1.0,1.0,1.0062608318340642,0.99,0.9899999999999999,1,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0007,11915,448.075237069452,0.9997157113443165,843.6340898676923,15.244560062675887,1.005641778906959,17.06027985646487,35.31304669230758,1.2761885193465954,1.0087930672564223,0.99,1.0,1.0,1.0265893334872778,0.99,1.0,1,0.99,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0008,11915,447.7161385285748,0.9989145145283895,843.6541864138462,15.257150666118886,1.0170539620306305,17.061170398190768,35.81546034615371,1.275712859439045,1.0079376442015693,0.99,1.0,1.0,1.046917835140491,0.99,1.0,1,0.99,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deform_0009,11915,448.0384190139075,0.9996335653439491,843.621568,15.245586511249543,0.9842353033982106,16.715019956987096,34.57704292307699,1.2763981276676202,1.010432857341319,0.97,1.0,1.0,1.0347586634215387,1.0,0.97,1,1.01,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
