matrix,relative_rows,layouts,strategies,conditions,summary_rows,intercept_min,intercept_max,mean_elapsed_s,max_elapsed_s
V9,675,5,5,27,20,0.6357166666666667,0.74495,12.107585520567717,15.128782987594604
V10,675,5,5,27,20,0.6359944444444444,0.7448,8.320516892892343,13.725223064422607
