count,mean_radius_m,median_radius_m,p05_radius_m,p95_radius_m,min_radius_m,max_radius_m,x_span_m,y_span_m,axis_ratio_x_over_y,mean_z_m,z_range_m,sector_coverage_frac,min_sector_count,annular_coverage_frac,min_annular_count,replicate
11895.0,1020.5599592157286,1012.3916176114853,296.9354007649273,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2523746377948064,35.19410000000016,1.0,242.0,1.0,352.0,0.0
11895.0,1020.4069668079071,1012.3916140753043,296.9354007649273,1785.918487087022,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2585071155973737,35.19410000000016,1.0,242.0,1.0,351.0,1.0
11895.0,1020.7266109687048,1012.3916187686463,296.93540351403027,1785.918487087022,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2546158425996694,35.19410000000016,1.0,242.0,1.0,352.0,2.0
11895.0,1020.8516582740023,1012.3916176114853,296.93540888417465,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2575679573214336,35.19410000000016,1.0,241.0,1.0,352.0,3.0
11895.0,1020.4888296486156,1012.3916005701549,296.9354007649273,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.255175151876353,35.19410000000016,1.0,241.0,1.0,351.0,4.0
11895.0,1020.3997271063905,1012.3916005701549,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.257750553240857,35.19410000000016,1.0,242.0,1.0,352.0,5.0
11895.0,1020.4965429989509,1012.3916005701549,296.9354007649273,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.256330858993112,35.19410000000016,1.0,241.0,1.0,352.0,6.0
11895.0,1020.6369007680722,1012.3916140753043,296.9354111856651,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.254597662045461,35.19410000000016,1.0,241.0,1.0,352.0,7.0
11895.0,1020.8627351514233,1012.3916176114853,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2586463821282363,35.19410000000016,1.0,242.0,1.0,352.0,8.0
11895.0,1020.5279973164326,1012.3916140753043,296.93540351403027,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2599959125062234,35.19410000000016,1.0,241.0,1.0,352.0,9.0
