layout_id,strategy,heliostat_count,group_count,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy
baseline_full,equator,11915,349,0.9999999999999903,9.658940314238862e-15,9.557430581912914,1.8051831326688583,5.294438225656811,1.1541296573382778
baseline_full,five_point,11915,349,0.9886960180639421,0.01130398193605786,2.6194937287197946,1.2044661786355029,2.1748171722740497,0.3080103755556399
baseline_full,staggered_levels:9:0.380:0,11915,349,0.9938542249840447,0.006145775015955257,2.2134433042287394,1.3572940233778177,1.6307765790644781,0.25920104977460245
deform_0276,equator,11915,347,0.999999999999992,7.993605777301127e-15,8.816820998511048,1.8088585265774595,4.8742457571811055,1.1531147096387375
deform_0276,five_point,11915,347,0.988672060056252,0.011327939943748033,2.4989471955075047,1.208824656688696,2.067253659726639,0.3133539676876245
deform_0276,staggered_levels:9:0.380:0,11915,347,0.9938124483995938,0.006187551600406183,2.1035903489278858,1.3646241024392662,1.5415163378455041,0.2636582345653358
deform_0567,equator,11915,356,0.9999999999999916,8.43769498715119e-15,9.242469229594228,1.8088295087599033,5.109640894752252,1.1543570250778645
deform_0567,five_point,11915,356,0.9886918054534528,0.01130819454654719,2.5968471975879273,1.2099081875048072,2.146317567239051,0.306674931833326
deform_0567,staggered_levels:9:0.380:1,11915,356,0.9937910628291279,0.00620893717087212,2.1672671778341233,1.3531387936030488,1.6016591853547166,0.2586586323986539
deform_1387,equator,11915,351,0.9999999999999921,7.882583474838611e-15,8.341011871976654,1.8034285858501875,4.625085760212936,1.1512973543548763
deform_1387,five_point,11915,351,0.9886858324931832,0.011314167506816797,2.468932447930307,1.206527801225224,2.0463121077053645,0.29733336527522725
deform_1387,staggered_levels:9:0.380:1,11915,351,0.9937683647046123,0.006231635295387727,2.0857814758342768,1.3511564096929176,1.5437009815231681,0.25269970413627724
deform_0893,equator,11915,346,0.9999999999999919,8.104628079763643e-15,8.728185561084306,1.8046509696587056,4.836495093970982,1.1523825252334765
deform_0893,five_point,11915,346,0.9885837348921167,0.011416265107883294,2.5210083997852215,1.2040240643311966,2.093818948033713,0.3071368932416734
deform_0893,staggered_levels:9:0.380:2,11915,346,0.9936439187794135,0.006356081220586507,2.0890120971565564,1.365977305956848,1.5293168400724144,0.2671717607162932
deform_1444,equator,11915,346,0.9999999999999925,7.549516567451064e-15,8.773748819653258,1.804803522294214,4.861331835445624,1.1532767953043421
deform_1444,five_point,11915,346,0.9886348845696268,0.011365115430373218,2.582296100499902,1.2079661259698484,2.137722279609981,0.3209371964856886
deform_1444,staggered_levels:9:0.380:2,11915,346,0.9936728746619155,0.006327125338084549,2.174114999634693,1.357649911221085,1.6013811673137965,0.25757165736963394
deform_0665,equator,11915,345,0.9999999999999916,8.43769498715119e-15,9.287711750431862,1.8060401828642079,5.142583115566363,1.153023440073571
deform_0665,five_point,11915,345,0.9886998358940808,0.011300164105919164,2.5967364201812306,1.2028937533743964,2.158741296059425,0.3103111868869189
deform_0665,staggered_levels:9:0.380:8,11915,345,0.9937112914893972,0.006288708510602814,2.222713621788999,1.3670784542820262,1.625885928365642,0.2661517964707221
deform_1822,equator,11915,349,0.9999999999999925,7.549516567451064e-15,8.965306476996838,1.8056537699696806,4.965130428713018,1.1527650991438771
deform_1822,five_point,11915,349,0.9886599745205581,0.011340025479441906,2.4762437086078117,1.2070389755185469,2.0515026928140507,0.30510694081527834
deform_1822,staggered_levels:9:0.380:1,11915,349,0.9938214909443904,0.006178509055609571,2.1386321073217123,1.3565426384412471,1.5765314312413616,0.2571125270474206
