year,weather_file,interpolation_method,layout_id,annual_dni_kwh_m2,positive_dni_hours,annual_dni_weighted_eta,annual_thermal_proxy_mwh,opteff_table_mean,baseline_annual_thermal_proxy_mwh,baseline_annual_dni_weighted_eta,delta_annual_thermal_proxy_pct,delta_annual_dni_weighted_eta_pct,annual_rank
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,deform_0276,2012.398,4254,0.37542674753923194,1038982.1746418182,0.368531810689137,1005575.494422693,0.3633555478527955,3.3221454186594057,3.3221454186594057,1.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,deform_0893,2012.398,4254,0.36423676816224065,1008014.2449897402,0.3581512584642348,1005575.494422693,0.3633555478527955,0.24252287178569976,0.24252287178567755,9.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,deform_1387,2012.398,4254,0.3660147895723636,1012934.8654925618,0.3598089438890156,1005575.494422693,0.3633555478527955,0.7318566443481167,0.7318566443480945,5.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,joint_g02_0333,2012.398,4254,0.3668575694305701,1015267.2332728625,0.3605554104209499,1005575.494422693,0.3633555478527955,0.963800222253175,0.9638002222531972,4.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,joint_g04_0478,2012.398,4254,0.36069314367352523,998207.3713412002,0.35481410114389006,1005575.494422693,0.3633555478527955,-0.7327269928870894,-0.7327269928871116,11.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_balanced,2012.398,4254,0.35721280353129986,988575.6352084817,0.35143735306433893,1005575.494422693,0.3633555478527955,-1.69056021238575,-1.69056021238575,16.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_hs_energy,2012.398,4254,0.36514626982841153,1010531.2633565781,0.35897294118756157,1005575.494422693,0.3633555478527955,0.4928291273377017,0.4928291273377017,7.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_hs_flux,2012.398,4254,0.3603238490578648,997185.3596561581,0.35443156959351435,1005575.494422693,0.3633555478527955,-0.8343614987705861,-0.8343614987705972,13.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_hy_energy,2012.398,4254,0.37000414345754074,1023975.2817713832,0.3635035268644145,1005575.494422693,0.3633555478527955,1.8297768243898727,1.8297768243898505,2.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_hy_flux,2012.398,4254,0.36062364686943016,998015.0410367594,0.35474358804009426,1005575.494422693,0.3633555478527955,-0.7518533842428399,-0.7518533842428399,12.0
