layout_id,cases,mean_delta_annual_pct,min_delta_annual_pct,max_delta_annual_pct,std_delta_annual_pct,sign_positive_fraction,best_rank,median_rank,worst_rank,method_year_delta_spread_pctpt,label
deform_0276,30,3.322672187003718,3.182490180800257,3.3792269814271414,0.06314524633867875,1.0,1.0,1.0,1.0,0.19673680062688437,L_opt
sb_hy_energy,30,1.830852441120844,1.7611451463242167,1.8610020067349797,0.031519247996743174,1.0,2.0,2.0,2.0,0.09985686041076303,"B_hy,E"
sb_ta_energy,30,1.0929677796615074,1.0491668715627789,1.111191188628391,0.01977505547349667,1.0,3.0,3.0,3.0,0.06202431706561207,sb_ta_energy
joint_g02_0333,30,0.9629787947985887,0.9307662367026293,0.9757500600125812,0.014114021831394083,1.0,4.0,4.0,4.0,0.04498382330995199,J_bal
deform_1387,30,0.7313641298235478,0.7040013872149142,0.7437672186381139,0.01203629340539372,1.0,5.0,5.0,5.0,0.03976583142319967,L_rob
sb_pf_energy,30,0.691374690647039,0.6697791191574209,0.7014560188107533,0.009828186481764428,1.0,6.0,6.0,6.0,0.03167689965333231,sb_pf_energy
sb_hs_energy,30,0.4932206759719275,0.4777542998182005,0.4991892824410371,0.006814322058893739,1.0,7.0,7.0,7.0,0.021434982622836607,sb_hs_energy
sb_ta_flux,30,0.2828231288112952,0.2681990099277387,0.2887996932227743,0.006479688045660014,1.0,8.0,8.0,8.0,0.020600683295035616,sb_ta_flux
deform_0893,30,0.24174578941338343,0.21923445427571853,0.2504572576597086,0.010096583411942327,1.0,9.0,9.0,9.0,0.031222803383990083,L_nom
joint_g04_0478,30,-0.7344863202764315,-0.747858211443253,-0.7141956698396568,0.00965766492341606,0.0,11.0,11.0,11.0,0.033662541603596274,J_flux
sb_hy_flux,30,-0.7512308098546575,-0.7570999804121681,-0.7392809921782151,0.005786031567468313,0.0,12.0,12.0,12.0,0.017818988233953004,sb_hy_flux
sb_hs_flux,30,-0.8346603261171345,-0.8466527896605403,-0.808645037313549,0.011841466780816904,0.0,13.0,13.0,13.0,0.038007752346991275,"B_hs,R"
sb_pf_flux,30,-0.8582339651851386,-0.8697501056508128,-0.8358023516887969,0.010292069229442808,0.0,14.0,14.0,14.0,0.03394775396201588,"B_pf,R"
ctrl_radial_expand_015,30,-0.9332089987144258,-0.9472964437103659,-0.8987149583904341,0.01553283095758461,0.0,15.0,15.0,15.0,0.04858148531993178,ctrl_radial_expand_015
sb_balanced,30,-1.6898016142327308,-1.7078679410919007,-1.6481044187682259,0.01869521695705908,0.0,16.0,16.0,16.0,0.05976352232367477,sb_balanced
