layout_id,label,delta_opteff_mean_pct_baseline8,delta_opteff_mean_pct_extended,delta_p99_to_active_mean_pct_baseline8,delta_p99_to_active_mean_pct_extended,delta_peak_to_active_mean_pct_baseline8,delta_peak_to_active_mean_pct_extended,flux_map_count_baseline8,flux_map_count_extended,delta_peak_to_active_mean_pct_shift_extended_minus_baseline8,delta_p99_to_active_mean_pct_shift_extended_minus_baseline8,delta_opteff_mean_pct_shift_extended_minus_baseline8
baseline_full,L0,0.0,0.0,0.0,0.0,0.0,0.0,86,130,0.0,0.0,0.0
deform_0276,L_opt,3.1475413932443574,3.124251658731203,0.33344305500933036,0.36701091528481555,4.678843500684771,4.686756703152861,86,130,0.007913202468090574,0.033567860275485195,-0.023289734513154414
deform_0893,L_nom,0.24215192821928078,0.24805941601666603,-0.04268945330916374,-0.02492338764041868,1.3990295508835127,1.401139575012178,86,130,0.0021100241286653443,0.017766065668745057,0.005907487797385258
deform_1387,L_rob,0.7061177813971087,0.7007988600021609,-0.6581579356140566,-0.5932346090552598,2.3771171626308263,2.379324397070759,86,130,0.0022072344399326482,0.06492332655879673,-0.005318921394947829
joint_g02_0333,J_bal,0.9150446237160548,0.9059967620617781,-0.4266920042364286,-0.4106309919004736,1.7801231846691579,1.783004142630329,86,130,0.002880957961171049,0.016061012335955027,-0.009047861654276623
joint_g04_0478,J_flux,-0.6918775445482028,-0.6833502371810574,-0.40722601404848957,-0.33403730953579513,1.0067566335203226,1.0057985748088027,86,130,-0.0009580587115198824,0.07318870451269444,0.008527307367145465
sb_hs_flux,"B_hs,R",-0.7989434416625585,-0.7931463980214493,0.051241879120333955,-0.010825545996751007,-0.17525887300398058,-0.17644190156381745,86,130,-0.001183028559836874,-0.06206742511708496,0.005797043641109223
sb_hy_energy,"B_hy,E",1.7401863185828592,1.7304961743192182,0.6429702006252036,0.6602968988393298,1.646981418204052,1.6519606752656513,86,130,0.004979257061599185,0.017326698214126246,-0.00969014426364101
sb_pf_flux,"B_pf,R",-0.8210331187412434,-0.8150488806008216,0.20456225900908898,0.24071282608633116,-0.5393541753413444,-0.5414707687782183,86,130,-0.0021165934368738704,0.03615056707724218,0.005984238140421816
