layout_id,strategy,heliostat_count,group_count,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy
baseline_full,staggered_levels:9:0.380:0,11915,349,0.9938542273100508,0.006145772689949203,2.2135063719525467,1.3573053540011757,1.630809430926793,0.25920363124567036
ctrl_radial_expand_015,staggered_levels:9:0.380:0,11915,349,0.9938541124986054,0.0061458875013945535,2.2140741513714772,1.356246503600012,1.6325012787088875,0.2592396383670004
deform_0276,staggered_levels:9:0.380:0,11915,347,0.9938124483995937,0.006187551600406294,2.1035903489278867,1.3646241024392658,1.5415163378455052,0.2636582345653358
deform_0893,staggered_levels:9:0.380:2,11915,346,0.9936439187794133,0.006356081220586729,2.0890120971565556,1.3659773059568476,1.5293168400724142,0.2671717607162932
deform_1387,staggered_levels:9:0.380:1,11915,351,0.9937683647046124,0.006231635295387616,2.0857814758342763,1.3511564096929172,1.5437009815231684,0.2526997041362772
joint_g02_0333,staggered_levels:9:0.380:0,11915,348,0.9937990671128343,0.006200932887165722,2.0321218118528903,1.3567802792753962,1.4977530576565925,0.2573285282977088
joint_g04_0478,staggered_levels:9:0.380:6,11915,350,0.9935430910117298,0.006456908988270227,2.0162414621821236,1.342915592815477,1.50139105761293,0.25481018666394356
sb_balanced,staggered_levels:9:0.380:0,11915,346,0.9938208123613913,0.006179187638608696,2.0961353475757414,1.3591724780350063,1.5422143851869212,0.258042490387238
sb_hs_energy,staggered_levels:9:0.380:0,11915,348,0.9938075023577406,0.006192497642259376,2.108990603483201,1.3582870172799706,1.5526840620964981,0.2561646071934499
sb_hs_flux,staggered_levels:9:0.380:2,11915,351,0.9936347466804739,0.006365253319526087,2.0485080398134645,1.3458368778099834,1.522107228289735,0.25214800427326317
sb_hy_energy,staggered_levels:9:0.380:2,11915,353,0.9936724672551611,0.006327532744838882,2.1165849808231765,1.3581616236393819,1.5584190747132836,0.2592323406706003
sb_hy_flux,staggered_levels:9:0.380:0,11915,348,0.9937854533380881,0.006214546661911902,2.1183874039638835,1.3536215293114555,1.5649776234287882,0.2565959192500814
sb_pf_energy,staggered_levels:9:0.380:8,11915,346,0.9936112754813045,0.006388724518695543,2.148267063862409,1.3602242664142854,1.5793476979538814,0.2596466453315
sb_pf_flux,staggered_levels:9:0.380:8,11915,358,0.9936960093341969,0.006303990665803116,2.066152327525086,1.3399295057579927,1.5419858422747932,0.25331714589550736
sb_ta_energy,staggered_levels:9:0.380:0,11915,348,0.9938255653039032,0.006174434696096798,2.2061715066798677,1.3590015251738143,1.623376770234089,0.25683308356838846
sb_ta_flux,staggered_levels:9:0.380:8,11915,350,0.9936672634425026,0.006332736557497443,2.2244424791359516,1.3508591954233753,1.6466871504241305,0.2555153386320221
