candidate_id,heliostat_count,annual_energy_proxy_gwh,energy_ratio_vs_baseline,capex_proxy_musd,lcoe_proxy_cent_kwh,flux_risk_index,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,terrain_slope_mean_pct,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,ellipse_axis_ratio,extent_x_ratio,extent_y_ratio,is_publishable_geometry,x_scale,y_scale,radial_scale,radial_wave,twist,az_wave,petal_amp,petal_order,petal_phase,petal_twist,north_bias,generation,best_strategy,best_aiming_objective,best_intercept_fraction_proxy,best_spillage_proxy,best_peak_to_mean_proxy,best_cv_active_proxy,searched_strategy_count,group_count,joint_loss,delta_energy_pct,delta_peak_to_mean_pct_vs_baseline_best,delta_spillage_pctpt_vs_baseline_best,is_joint_pareto
joint_g02_0315,11915,448.04751789670865,0.9996538661669793,843.621568,15.245276906130982,0.9709079721254157,16.78828080737373,34.99671602700778,1.2666263277760963,1.009546184962463,0.9868993678649153,1.0,1.0,1.0064003628972957,0.9994342395742505,0.9868993678649153,1,1.0109248277678318,0.9890473041820842,-0.008191313276478996,0.009087003214083967,-0.02596850734333831,0.018505026691213424,-0.007424728692917203,4.0,-0.11268726270640228,-0.006008547765192943,0.012,2,staggered_levels:9:0.380:2,1.675256394866088,0.9948558371883571,0.005144162811642872,1.4724906770233996,0.2223421042149174,23,346,-5.1937656734460855,-0.03461338330207342,-5.212803034262226,-0.024024569291303255,1
joint_g03_0405,11915,447.66601605554445,0.9988026845953015,843.6236775371772,15.258307114888302,0.977481387391222,16.897817925658902,35.05273842942779,1.2653839268495972,1.0089858763105304,0.9884555144569792,1.0,1.0,1.022857931573462,1.0,0.9884555144569792,1,1.0160901410016165,0.9755356144984199,0.008687353343050987,0.009858025592201485,0.035,0.012778064052038858,0.0,0.0,0.0,0.0,-0.006372094246564031,3,staggered_levels:9:0.380:5,1.6775581170150566,0.9945969416211298,0.005403058378870229,1.4719073996385563,0.223772411632545,23,350,-5.173307504968832,-0.11973154046984735,-5.250349776815844,0.0018649874314324855,1
joint_g04_0435,11915,447.69799131882564,0.9988740256791911,843.621568,15.257179191978146,0.976780823571736,16.833865875142823,34.89399175917765,1.2655735287300551,1.0092015020120741,0.9815277839489567,1.0,1.0,1.0327125508613402,1.0,0.9815277839489567,1,1.0200878898180425,0.9742144195585706,0.004606544072581317,0.005837110021318608,0.035,0.007554787938304194,0.0,0.0,0.0,0.0,-0.0021828501461201083,4,staggered_levels:9:0.380:0,1.672573639091798,0.9949328057369622,0.005067194263037811,1.4722582937020663,0.21979331406462266,23,350,-5.165833430056123,-0.11259743208088535,-5.22776201770061,-0.03172142415180934,1
joint_g02_0327,11915,447.62788046744436,0.9987175990037961,843.6284858927007,15.2596940183488,0.9763750751748723,16.927634175972564,35.172947317518265,1.2647527361188289,1.0089657567646846,0.9907636672404116,1.0,1.0,1.0225649152401155,1.0,0.9907636672404116,1,1.0160404848308522,0.9759625507930996,0.010150306355970386,0.00985752016234532,0.035,0.01332547934552568,0.0,0.0,0.0,0.0,-0.004322154762807155,2,staggered_levels:9:0.380:0,1.6762690940314244,0.9949398027649742,0.005060197235025821,1.474274193448635,0.22209802658347857,23,350,-5.027462427316267,-0.1282400996203914,-5.097994482107482,-0.03242112695300836,1
joint_g03_0391,11915,447.7835990473468,0.9990650279576808,843.621568,15.254262308784917,0.9775844295744908,16.771354712070693,34.860718133171304,1.2659219166033853,1.0091784298147066,0.9831921378833302,1.0,1.0,1.0210677638287657,1.0,0.9831921378833302,1,1.0190339736397271,0.9783141012342499,-0.0008086649447064742,0.011559326262135284,0.03187632736314752,0.0158562422362919,0.0,0.0,0.0,0.0,-0.004475798653282201,3,staggered_levels:9:0.380:8,1.678420959800306,0.9948577539224456,0.005142246077554424,1.4748170604960735,0.2234775690151355,23,350,-5.01162557220956,-0.09349720423191821,-5.063049034537115,-0.024216242700147994,1
joint_g04_0469,11915,447.3289431487068,0.9980506299112757,843.6552402669009,15.27037590258664,0.9795346035235171,17.084491930471007,35.84180667252281,1.2651758611225614,1.008690499060512,1.0,1.0,1.0,1.0160612333420003,1.0,1.0,1,1.0236001777213555,0.9826934538027601,0.014389317108137449,0.015868087420188737,0.034093131149765386,0.018541110458717307,0.0,0.0,0.0,0.0,-0.004641808500211895,4,staggered_levels:9:0.380:8,1.6788842645854336,0.9948095526589289,0.005190447341071103,1.4757424193690445,0.22241161843852203,23,348,-4.8962664612531555,-0.19493700887243115,-5.003481816132993,-0.019396116348480152,1
joint_g03_0365,11915,448.07397813744916,0.9997129024988402,843.621568,15.244376622435041,0.9849354917352224,16.821175152757004,34.64846588044111,1.2661076056025569,1.009334498229443,0.9875753382157165,1.0,1.0,1.0083984971215356,1.0,0.9875753382157165,1,1.0115338398949845,0.9901399555331173,-0.01155463569335209,0.007603613940430427,-0.027277876819976375,0.02,-0.008862239916247143,4.0,-0.6849789872995666,-0.008061186136277751,0.00589491845462651,3,staggered_levels:9:0.380:5,1.6857387170524636,0.9946248786652025,0.00537512133479745,1.4772419448969631,0.22782789708255768,23,346,-4.891163968684001,-0.028709750115984978,-4.906954331247793,-0.0009287169758454006,1
joint_g01_0263,11915,447.56110466126637,0.9985686132597714,843.6314216037891,15.262023863663998,0.9741357274704395,16.9133695688411,35.24634009472675,1.264750269271563,1.008951719630234,0.9916913665093288,1.0,1.0,1.0229179048987673,1.0,0.9916913665093288,1,1.0173998302358565,0.9746906777965759,0.011346394109155347,0.012014111978820973,0.03468420772035571,0.01547957495088523,0.0,0.0,0.0,0.0,-0.005624012005822685,1,staggered_levels:9:0.380:0,1.679230351670078,0.994924365224405,0.005075634775595028,1.4776388909284228,0.22141602308331965,23,350,-4.802675843291446,-0.14313867402285796,-4.881402114004018,-0.030877372896087607,1
joint_g02_0288,11915,447.4189464303217,0.9982514392559104,843.6480403704052,15.267173803415847,0.9763326170843287,17.097092158347955,35.661809260129985,1.2650056300629746,1.0086331077248325,1.0,1.0,1.0,1.0170812952951633,1.0,1.0,1,1.018803669030441,0.9798384305569885,0.016756156958901675,0.013064365188310563,0.035,0.014109579127416505,0.0,0.0,0.0,0.0,-0.007443311629528701,2,staggered_levels:9:0.380:8,1.6815968036269782,0.9948633162950303,0.005136683704969669,1.4774609618877521,0.22423874107258435,23,351,-4.796684924560311,-0.17485607440895778,-4.892855765485238,-0.024772479958623528,1
joint_g03_0409,11915,447.4558507803238,0.9983337777907406,843.6382636091945,15.265737716937222,0.977272585791043,16.902949473258165,35.41739022986212,1.2649994108529377,1.0089408553123544,0.9959042649265076,1.0,1.0,1.0199473320773964,1.0,0.9959042649265076,1,1.010686848447024,0.965,0.02207985056970925,0.016954621804709493,0.02898507728484577,0.018367734094371375,0.0,0.0,0.0,0.0,-0.004602490978024685,3,staggered_levels:9:0.380:5,1.6848933715784036,0.9946311526083951,0.005368847391604925,1.4801809546083118,0.2228406469718098,23,348,-4.626122122500734,-0.16662222092593826,-4.71776434401,-0.0015561112950979172,1
