candidate_id,strategy,aiming_objective,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy
baseline_full,staggered_levels:9:0.380:5,1.7624293408143807,0.9946155914954441,0.005384408504555904,10.143662153334125,6.529680068505468,1.5534700087772961,0.22835796334025754
baseline_full,staggered_levels:9:0.380:6,1.762948361002051,0.9946288734372605,0.0053711265627395255,10.158007077830836,6.527148849563345,1.5562701743059513,0.22544040100923068
baseline_full,staggered_levels:9:0.380:4,1.7668347619381097,0.9946404233631433,0.005359576636856711,10.143914121423776,6.5173556853473436,1.556446296805597,0.23049523823268753
baseline_full,staggered_levels:9:0.380:3,1.7694866794691535,0.9947073887017809,0.005292611298219119,10.221707812791148,6.538220410629761,1.563377673253844,0.22541430283703418
baseline_full,staggered_levels:9:0.380:8,1.7706178384614555,0.9947846171182945,0.0052153828817055325,10.259450993627476,6.552585310908834,1.5657104038840062,0.22453300587401398
baseline_full,staggered_levels:9:0.420:5,1.7722846560749042,0.980153209477126,0.01984679052287397,9.213407747686656,6.199273036753677,1.4862077687275677,0.19619913824962476
baseline_full,staggered_levels:9:0.380:2,1.7726655841387617,0.9947749128885643,0.005225087111435656,10.259529272196973,6.5448056316946115,1.5675834928562313,0.22467530866997448
baseline_full,staggered_levels:9:0.380:0,1.7731857590822455,0.9949393240780438,0.005060675921956248,10.259520614042048,6.541685499101957,1.568329846405865,0.22590824163024914
baseline_full,staggered_levels:9:0.380:1,1.7766118971929803,0.994906546713127,0.005093453286873051,10.259582711031037,6.531547924210805,1.5707735486409498,0.22691223405855918
baseline_full,staggered_levels:9:0.380:7,1.7827399199430536,0.9946652000750583,0.00533479992494168,10.258551047136173,6.519432213434525,1.5735344292707707,0.22914918826358804
baseline_full,staggered_levels:9:0.420:1,1.7834000813763524,0.9812234885852562,0.01877651141474379,9.322689687444328,6.195017195785498,1.5048690573105432,0.19612725888347013
baseline_full,staggered_levels:9:0.420:3,1.7860280966856021,0.9804909607439296,0.019509039256070393,9.326270307779314,6.202380785670133,1.5036597445494733,0.19440676979151483
baseline_full,staggered_levels:9:0.420:7,1.792646377219984,0.9803368072275028,0.019663192772497173,9.32800396869714,6.188845839630672,1.5072283605716377,0.19703422298782175
baseline_full,staggered_levels:9:0.340:6,1.8381899083450473,0.9989614791638763,0.0010385208361236575,11.256063802075916,6.88381769418948,1.635148445545991,0.26102908926158735
