sectors,annuli,sigma_theta,sigma_z_fraction,strategy,group_count,objective,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy,layout_id,peak_to_mean_proxy_baseline,cv_active_proxy_baseline,intercept_fraction_proxy_baseline,delta_peak_to_mean_pct,delta_cv_pct,delta_intercept_pctpt
36,6,0.03,0.055,staggered_levels:7:0.380:1,201,2.3176840143732154,0.9946444231413205,0.005355576858679489,13.313936979788098,7.161630710564652,1.8590649976056044,0.48914635517432387,baseline_full,1.8590649976056044,0.48914635517432387,0.9946444231413205,0.0,0.0,0.0
36,6,0.03,0.065,staggered_levels:7:0.380:2,201,2.2564254224627147,0.9886470770089761,0.011352922991023862,12.598901474397975,7.107843255391783,1.7725350745236046,0.46243172236578706,baseline_full,1.7725350745236046,0.46243172236578706,0.9886470770089761,0.0,0.0,0.0
36,6,0.03,0.08,staggered_levels:7:0.380:1,201,2.3149229636004383,0.9776249180706899,0.022375081929310148,12.362204331829517,7.004437438623748,1.7649103786211384,0.4364846229939041,baseline_full,1.7649103786211384,0.4364846229939041,0.9776249180706899,0.0,0.0,0.0
36,6,0.035,0.055,staggered_levels:7:0.380:1,201,2.3064904211066395,0.9946444231413204,0.0053555768586796,12.575022253387631,6.781579207302601,1.8542911420759465,0.4815937225426541,baseline_full,1.8542911420759465,0.4815937225426541,0.9946444231413204,0.0,0.0,0.0
36,6,0.035,0.065,staggered_levels:7:0.380:2,201,2.2514558997027656,0.9886470770089761,0.011352922991023862,11.897835774633386,6.7191690737798355,1.7707302263106048,0.45870857583996477,baseline_full,1.7707302263106048,0.45870857583996477,0.9886470770089761,0.0,0.0,0.0
36,6,0.035,0.08,staggered_levels:7:0.380:1,201,2.314589002718046,0.9776249180706899,0.022375081929310148,11.6689210004338,6.611730983043938,1.764881394956818,0.43612582626676105,baseline_full,1.764881394956818,0.43612582626676105,0.9776249180706899,0.0,0.0,0.0
36,6,0.042,0.055,staggered_levels:7:0.380:1,201,2.2178999370768304,0.9946444231413206,0.005355576858679378,11.125939973110397,6.15208480761219,1.8084828673596764,0.43126171158555165,baseline_full,1.8084828673596764,0.43126171158555165,0.9946444231413206,0.0,0.0,0.0
36,6,0.042,0.065,staggered_levels:7:0.380:2,201,2.192758885866509,0.9886470770089761,0.011352922991023862,10.530613260413404,6.047365385264779,1.7413555473384594,0.42421171129395135,baseline_full,1.7413555473384594,0.42421171129395135,0.9886470770089761,0.0,0.0,0.0
36,6,0.042,0.08,staggered_levels:7:0.380:1,201,2.2755639925862923,0.9776249180706899,0.022375081929310148,10.324735813218462,5.915804603127695,1.7452800600884888,0.4132744436039086,baseline_full,1.7452800600884888,0.4132744436039086,0.9776249180706899,0.0,0.0,0.0
36,8,0.03,0.055,staggered_levels:9:0.420:7,263,2.1866124180399633,0.9796645292750995,0.020335470724900495,11.834625676107247,7.039971955495063,1.681061480205146,0.4033731435713099,baseline_full,1.681061480205146,0.4033731435713099,0.9796645292750995,0.0,0.0,0.0
36,8,0.03,0.065,staggered_levels:9:0.420:7,263,2.237453282992089,0.9703831758026342,0.029616824197365776,11.592713481288117,6.956912573770221,1.666358942758077,0.39312911371186565,baseline_full,1.666358942758077,0.39312911371186565,0.9703831758026342,0.0,0.0,0.0
36,8,0.03,0.08,staggered_levels:9:0.380:7,263,2.3111251809354,0.9814876326311384,0.018512367368861637,12.563252998540474,7.007906430483445,1.792725562643363,0.435647858048405,baseline_full,1.792725562643363,0.435647858048405,0.9814876326311384,0.0,0.0,0.0
36,8,0.035,0.055,staggered_levels:9:0.420:7,263,2.1832262905032933,0.9796645292750995,0.020335470724900495,11.17959785957238,6.652483305907017,1.68051498147249,0.40003240380188165,baseline_full,1.68051498147249,0.40003240380188165,0.9796645292750995,0.0,0.0,0.0
36,8,0.035,0.065,staggered_levels:9:0.420:7,263,2.2377483856103684,0.9703831758026342,0.029616824197365776,10.950703330087435,6.567617516101268,1.6673783610632822,0.39227697760959984,baseline_full,1.6673783610632822,0.39227697760959984,0.9703831758026342,0.0,0.0,0.0
36,8,0.035,0.08,staggered_levels:9:0.380:7,263,2.312712163522055,0.9814876326311387,0.018512367368861304,11.864175356421184,6.612900892353869,1.7940954430663059,0.4359032723586572,baseline_full,1.7940954430663059,0.4359032723586572,0.9814876326311387,0.0,0.0,0.0
36,8,0.042,0.055,staggered_levels:9:0.420:7,263,2.1370782529807135,0.9796645292750995,0.020335470724900495,9.895269407956166,5.963628854441286,1.6592698253827238,0.37073489623386574,baseline_full,1.6592698253827238,0.37073489623386574,0.9796645292750995,0.0,0.0,0.0
36,8,0.042,0.065,staggered_levels:9:0.380:7,263,2.1950532510256036,0.9908834227869495,0.00911657721305048,10.636747668478119,6.034445869725589,1.7626718174475589,0.4228809598513424,baseline_full,1.7626718174475589,0.4228809598513424,0.9908834227869495,0.0,0.0,0.0
36,8,0.042,0.08,staggered_levels:9:0.380:7,263,2.278193024847787,0.9814876326311386,0.018512367368861415,10.498590180089712,5.909780564779547,1.7764771576559106,0.41601991557762935,baseline_full,1.7764771576559106,0.41601991557762935,0.9814876326311386,0.0,0.0,0.0
36,10,0.03,0.055,staggered_levels:11:0.420:0,327,2.1306500349535193,0.9838030661912724,0.016196933808727554,11.721698034531428,7.0583261185680986,1.660690911361485,0.40045135661436954,baseline_full,1.660690911361485,0.40045135661436954,0.9838030661912724,0.0,0.0,0.0
36,10,0.03,0.065,staggered_levels:11:0.420:0,327,2.1832160272871666,0.975940865883752,0.02405913411624805,11.582445693383711,6.983835951765989,1.6584647424965475,0.3909155433654524,baseline_full,1.6584647424965475,0.3909155433654524,0.975940865883752,0.0,0.0,0.0
36,10,0.03,0.08,five_point,327,2.1826644339659653,0.9688332426098735,0.03116675739012653,11.284295467560394,6.669635901848983,1.691890776891152,0.284046585828001,baseline_full,1.691890776891152,0.284046585828001,0.9688332426098735,0.0,0.0,0.0
36,10,0.035,0.055,staggered_levels:11:0.420:0,327,2.1298483924572684,0.9838030661912724,0.016196933808727554,11.072077245761154,6.664891210817723,1.6612540093362915,0.39884577958959566,baseline_full,1.6612540093362915,0.39884577958959566,0.9838030661912724,0.0,0.0,0.0
36,10,0.035,0.065,staggered_levels:11:0.420:0,327,2.1849039018140513,0.9759408658837518,0.02405913411624816,10.940535572054468,6.590272215962823,1.660103742840019,0.39097304240476133,baseline_full,1.660103742840019,0.39097304240476133,0.9759408658837518,0.0,0.0,0.0
36,10,0.035,0.08,five_point,327,2.1830889899873385,0.9688332426098735,0.03116675739012653,10.650742608178026,6.293201321949788,1.6924204491964616,0.2839229196116054,baseline_full,1.6924204491964616,0.2839229196116054,0.9688332426098735,0.0,0.0,0.0
36,10,0.042,0.055,staggered_levels:11:0.420:0,327,2.089464082126553,0.9838030661912727,0.016196933808727332,9.799531667648688,5.9654750085620964,1.6427076894268549,0.37315402615279925,baseline_full,1.6427076894268549,0.37315402615279925,0.9838030661912727,0.0,0.0,0.0
36,10,0.042,0.065,staggered_levels:11:0.420:0,327,2.1523911052073395,0.9759408658837518,0.02405913411624816,9.68311811417229,5.885658959843214,1.6452054358294377,0.37025011346813697,baseline_full,1.6452054358294377,0.37025011346813697,0.9759408658837518,0.0,0.0,0.0
36,10,0.042,0.08,five_point,327,2.182731482755281,0.9688332426098735,0.03116675739012653,9.422299304825714,5.568219235657424,1.6921566673394908,0.28381265446444487,baseline_full,1.6921566673394908,0.28381265446444487,0.9688332426098735,0.0,0.0,0.0
48,6,0.03,0.055,staggered_levels:7:0.380:0,268,1.7172990422354704,0.9945734642382469,0.005426535761753115,8.897192937904036,6.076315674995405,1.464241394586657,0.24664160182916292,baseline_full,1.464241394586657,0.24664160182916292,0.9945734642382469,0.0,0.0,0.0
48,6,0.03,0.065,staggered_levels:7:0.380:0,268,1.7568900994700876,0.9885340139104353,0.011465986089564728,8.62663007673515,5.938382633720541,1.4526901698367587,0.2499671069609542,baseline_full,1.4526901698367587,0.2499671069609542,0.9885340139104353,0.0,0.0,0.0
48,6,0.03,0.08,staggered_levels:7:0.380:6,268,1.8800143637278584,0.9774929873188813,0.022507012681118654,8.531121790642107,5.762072709815348,1.480564758599774,0.2581100043283941,baseline_full,1.480564758599774,0.2581100043283941,0.9774929873188813,0.0,0.0,0.0
48,6,0.035,0.055,staggered_levels:7:0.380:0,268,1.7103550415788917,0.9945734642382468,0.005426535761753226,8.279057269454325,5.653436618057828,1.4644291302408725,0.23825132381646272,baseline_full,1.4644291302408725,0.23825132381646272,0.9945734642382468,0.0,0.0,0.0
