resolution_tag,layout_id,flux_bins,flux_map_count,active_mean,active_p95,active_p99,active_peak,p95_to_active_mean,p99_to_active_mean,peak_to_active_mean,active_cv,opteff_mean,flux_peak_to_active_mean,delta_opteff_mean_pct,delta_peak_to_active_mean_pct,delta_p95_to_active_mean_pct,delta_p99_to_active_mean_pct,delta_active_cv_pct,label
baseline,baseline_full,24,86,0.0023467338020220466,0.0026951113250106,0.0027652133489027,0.0032008260022848,1.1484520837806045,1.1783242507181997,1.3639493322705927,0.09691736882280924,0.3572860833242061,1.3639493322705998,0.0,0.0,0.0,0.0,0.0,L0
baseline,ctrl_radial_expand_015,24,86,0.0023448237503039034,0.0026928076986223,0.00276184666436164,0.0031648250296711,1.1484051619117623,1.1778482984077963,1.3497070000510354,0.09665188378615447,0.3540998440671831,1.3497070000510465,-0.8917893547316647,-1.0441980418618435,-0.004085661866504164,-0.040392303740954816,-0.27392926559959285,ctrl_radial_expand_015
baseline,deform_0276,24,86,0.002354532239643279,0.00270624447148285,0.0027836534893139297,0.0033617219887673,1.14937668973811,1.1822532910977104,1.4277663869561685,0.09870574124517842,0.368531810689137,1.4277663869561747,3.1475413932443574,4.678843500684771,0.0805088841374868,0.33344305500933036,1.8452548228365506,L_opt
baseline,deform_0893,24,86,0.002348018501371122,0.00270255038049065,0.0027655460406094197,0.0032473832834511,1.1509919444469878,1.1778212305373588,1.3830313864881367,0.09833798385717807,0.3581512584642348,1.38303138648815,0.24215192821928078,1.3990295508835127,0.22115512717102437,-0.04268945330916374,1.4658002498665557,L_nom
baseline,deform_1387,24,86,0.002348710196487707,0.0026916442438959503,0.0027493273839354396,0.0032796731684356,1.1460095195742206,1.170569016154833,1.3963720059375855,0.09678235370314922,0.3598089438890156,1.3963720059375957,0.7061177813971087,2.3771171626308263,-0.21268316204740012,-0.6581579356140566,-0.1393095183040538,L_rob
baseline,joint_g02_0333,24,86,0.002349007480577957,0.0026933785993605497,0.0027560821035876497,0.0032609610352665,1.1466028191182527,1.1732964353564064,1.3882293105614816,0.09699012853482386,0.3605554104209499,1.3882293105614598,0.9150446237160548,1.7801231846691579,-0.16102236118238356,-0.4266920042364286,0.07507396548047662,J_bal
baseline,joint_g04_0478,24,86,0.002346113853468281,0.0026968067977576997,0.0027532251551746502,0.0032321964390575,1.1494782291878063,1.1735258078394333,1.377680982651083,0.09766200369028469,0.3548141011438901,1.3776809826510914,-0.6918775445482028,1.0067566335203226,0.08935030217576134,-0.40722601404848957,0.7683193183224413,J_flux
baseline,sb_balanced,24,86,0.0023455081193083475,0.0026935227215289497,0.00277067034039646,0.0031641868408769,1.1483749296605403,1.1812665740050756,1.3490410946903768,0.09664329116503145,0.3514373530643389,1.3490410946903637,-1.6369879860559822,-1.0930198965234172,-0.006718096571356469,0.24970404242148359,-0.28279519048735047,sb_balanced
baseline,sb_hs_energy,24,86,0.0023471473560233392,0.0026971248444169,0.0027711358154192296,0.003213150659576,1.1491075911767683,1.1806398981759005,1.368959921212569,0.09712916818246574,0.3589729411875615,1.368959921212565,0.4721308615384112,0.3673588764206537,0.05707747022460907,0.19652039379562947,0.2185360191151231,sb_hs_energy
baseline,sb_hs_flux,24,86,0.0023467282638624915,0.002696955576539,0.00276662376709274,0.003195208730176,1.1492406760806928,1.1789280462063982,1.36155889004251,0.09721236040188107,0.3544315695935143,1.3615588900425195,-0.7989434416625585,-0.17525887300398058,0.06866566844412336,0.051241879120333955,0.3043743166523116,"B_hs,R"
baseline,sb_hy_energy,24,86,0.0023504187126338998,0.00270573236048215,0.00278736278414725,0.0032586518209427,1.151170362088414,1.185900524517058,1.3864133243268075,0.09813134284389999,0.3635035268644145,1.3864133243268029,1.7401863185828592,1.646981418204052,0.23669061567297422,0.6429702006252036,1.2525866476113423,"B_hy,E"
baseline,sb_hy_flux,24,86,0.002346370461540589,0.0026916620554402002,0.0027576785068958295,0.0032051685266196,1.147159879294124,1.1752954412344512,1.3660112838767744,0.09652647838148153,0.3547435880400942,1.3660112838767766,-0.7116132989162027,0.1511750882086771,-0.1125170570657752,-0.25704380453024367,-0.40332341465271204,sb_hy_flux
baseline,sb_pf_energy,24,86,0.002347301737702618,0.0027003989089280003,0.0027791342465206697,0.0032034779433161,1.1504268350139637,1.1839697478521447,1.364749103986712,0.09738744364280708,0.3596257249064377,1.364749103986684,0.6548370315640151,0.05863646817347856,0.17194894425707208,0.4791123606684655,0.48502639486349697,sb_pf_energy
baseline,sb_pf_flux,24,86,0.0023467929123860936,0.00270224036648865,0.0027709397254510795,0.0031836424022912,1.151460937275951,1.1807346574239208,1.3565928145974508,0.09783004116916971,0.3543526462514609,1.3565928145974642,-0.8210331187412434,-0.5393541753413444,0.26199207941193237,0.20456225900908898,0.9417015313623267,"B_pf,R"
