Month,dni_kwh_m2_nasa,dni_kwh_m2_reported_tmy_scaled
1,137.51185,140.54148861439165
2,115.02114,117.55526696589673
3,191.84856,196.0753361323219
4,128.69141,131.52671812127466
5,144.73271,147.9214374222661
6,185.10669000000001,189.18493035387658
7,187.63504999999998,191.76899476834762
8,166.18153,169.8428143204908
9,162.11641,165.6881322607546
10,161.12562,164.67551333733633
11,159.05476000000002,162.55902848812516
12,103.38263,105.66033921491757
