layout_id,proxy_best_strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,best_condition_delta_pct,worst_condition_delta_pct
deform_1822,staggered_levels:9:0.380:1,9,-0.31697501438832354,-3.3781095155392475,-19.310145623171778,9.776645936055607,0.5555555555555556,-22.87665013893794,10.16222005626379
deform_0276,staggered_levels:9:0.380:0,9,-9.192960945548306,-3.1799755386161053,-18.010709232991804,12.701170633611651,0.6666666666666666,-23.59795578254336,21.41633740633729
deform_1387,staggered_levels:9:0.380:1,9,-0.9357663220169853,-3.0563802341048616,-11.568118143733965,9.50168569398784,0.7777777777777778,-15.50030816681874,9.798899837381821
deform_0893,staggered_levels:9:0.380:2,9,-0.4807835865600063,4.59528144186304,-8.57105479412712,30.808411712789503,0.5555555555555556,-8.76080704558004,33.84474521180118
