layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt,view,selected_strategy,label,role,family,strategy_short
deform_0893,visible_equator,27,0.12298042455919271,-0.36340345464317847,-11.114129081191939,9.768838926615189,0.48148148148148145,-0.6610398764775816,-0.12333333333333085,best-direct,visible_equator,$L_{nom}$,held-out TS-FPDA nominal,tsfpda,visible
deform_1387,five_point,27,-0.022931459752147762,0.21742984545840308,-12.803409140197711,15.337821724871848,0.5555555555555556,-0.3264583616945644,-0.12666666666666382,best-direct,five_point,$L_{rob}$,held-out TS-FPDA receiver-risk,tsfpda,five-point
ctrl_radial_expand_015,staggered_levels:9:0.380:0,27,-0.09768555271372312,-0.4430438554998372,-11.945428328048976,14.926774272910961,0.5185185185185185,-0.2031362131695308,-0.43000000000000815,best-direct,staggered_levels:9:0.380:0,$C_{rad+}$,simple radial-control baseline,control,S9-p0
joint_g04_0478,staggered_levels:9:0.380:1,27,0.09256796120416831,-2.2701026811306595,-16.275978560010433,10.85797241590634,0.48148148148148145,-0.23169363362318657,-0.7433333333333292,best-direct,staggered_levels:9:0.380:1,$J_{flux}$,joint receiver-boundary,joint,S9-p1
joint_g02_0333,staggered_levels:9:0.380:0,27,-0.05315774052391916,-1.3418292380824444,-15.592230635795095,10.065757637334412,0.5555555555555556,-0.13741232197792422,0.04166666666666208,best-direct,staggered_levels:9:0.380:0,$J_{bal}$,joint balance candidate,joint,S9-p0
sb_hy_energy,staggered_levels:9:0.380:1,27,-0.8445692840553817,-0.5334229958551006,-12.58483115216956,10.803199070213992,0.6666666666666666,0.3067470162686388,0.8516666666666617,best-direct,staggered_levels:9:0.380:1,"$B_{hy,E}$",hybrid annual-positive strong baseline,strong,S9-p1
sb_pf_flux,staggered_levels:9:0.380:1,27,0.45714690528470336,-0.5078984248239071,-17.346906337584034,11.767330868248614,0.4074074074074074,-0.5786385552283106,-0.6516666666666615,best-direct,staggered_levels:9:0.380:1,"$B_{pf,R}$",pattern-free receiver-pressure strong baseline,strong,S9-p1
sb_hs_flux,staggered_levels:9:0.380:1,27,-0.027968615379548308,-0.2693144207256747,-16.90040735137155,11.238738856335406,0.5185185185185185,-0.8992040572542479,-0.5266666666666642,best-direct,staggered_levels:9:0.380:1,"$B_{hs,R}$",slider-like receiver-pressure strong baseline,strong,S9-p1
