layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id
joint_g02_0303,visible_equator,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,8f02b44af808a3627489136ca14acea215cfa52a9068bde2d7ee2299fd199cc2,11915,6000,60000,116488,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,4.774416923522949,43356.0,0.7226,2882662.8173177685,833755.4133232506,3.457444199166054,0.3130623649998961,8927194936.259226,d20_h10
joint_g02_0303,five_point,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,8f02b44af808a3627489136ca14acea215cfa52a9068bde2d7ee2299fd199cc2,11915,6000,60000,116475,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.23737645149231,39068.0,0.6511333333333333,2449885.1237835656,763456.397863078,3.20893914916532,0.2713935094095096,7976009334.664696,d20_h10
joint_g02_0303,staggered_levels:9:0.380:2,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,8f02b44af808a3627489136ca14acea215cfa52a9068bde2d7ee2299fd199cc2,11915,6000,60000,116467,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.738490581512451,39414.0,0.6569,2244174.009579256,764107.0694260191,2.936988936988937,0.2721311810239144,8041079492.141526,d20_h10
joint_g02_0303,staggered_levels:9:0.380:3,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,8f02b44af808a3627489136ca14acea215cfa52a9068bde2d7ee2299fd199cc2,11915,6000,60000,116616,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.5970635414123535,39800.0,0.6633333333333333,2053579.8860532888,775062.9587901041,2.649565255007137,0.2776251547673823,8173247946.492088,d20_h10
joint_g02_0303,staggered_levels:9:0.380:5,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,8f02b44af808a3627489136ca14acea215cfa52a9068bde2d7ee2299fd199cc2,11915,6000,60000,116430,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.365099191665649,39415.0,0.6569166666666667,2047931.944704544,768550.8673543677,2.6646667536194086,0.2705550016809388,8071923760.052959,d20_h10
joint_g04_0478,visible_equator,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,b5583ff00079736c90e0b1666a4fcc20aa06ab2fd5e2d212ce1ffaed25469aac,11915,6000,60000,116589,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.772768259048462,42533.0,0.7088833333333333,2647775.98568063,816749.2288194706,3.24184693692056,0.3148865251250248,8662911999.919558,d20_h10
joint_g04_0478,five_point,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,b5583ff00079736c90e0b1666a4fcc20aa06ab2fd5e2d212ce1ffaed25469aac,11915,6000,60000,116540,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.425115823745728,38119.0,0.6353166666666666,2420559.0138310725,744171.5731863378,3.252689434866351,0.2677924701250231,7689107420.685553,d20_h10
joint_g04_0478,staggered_levels:9:0.380:2,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,b5583ff00079736c90e0b1666a4fcc20aa06ab2fd5e2d212ce1ffaed25469aac,11915,6000,60000,116464,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.477223396301269,38887.0,0.6481166666666667,2245889.306310092,763781.7042006033,2.940485866522171,0.2726486130085038,7939627041.316413,d20_h10
joint_g04_0478,staggered_levels:9:0.380:3,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,b5583ff00079736c90e0b1666a4fcc20aa06ab2fd5e2d212ce1ffaed25469aac,11915,6000,60000,116548,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.193525075912476,39069.0,0.65115,2236080.058845059,761796.6827972758,2.935271456728185,0.2770247901667033,7941946529.001601,d20_h10
joint_g04_0478,staggered_levels:9:0.380:5,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,b5583ff00079736c90e0b1666a4fcc20aa06ab2fd5e2d212ce1ffaed25469aac,11915,6000,60000,116443,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.7984583377838135,38974.0,0.6495666666666666,2439597.108645745,763331.7669184016,3.1959853033425927,0.2751121996365919,7923404809.363272,d20_h10
baseline_full,visible_equator,f267f54661b9776e332606a1b612b4aa1c0699d9f77f38f9fdcfb7c6b0e4b561,067c29255e664e4b6d0476d25d10240ba4dc164ff14b86c870338547fe107c25,11915,6000,60000,116479,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,4.942727327346802,42941.0,0.7156833333333333,2355096.836456796,855108.9072994628,2.754148408878673,0.3114673210995567,9193655750.390116,d20_h12
baseline_full,five_point,f267f54661b9776e332606a1b612b4aa1c0699d9f77f38f9fdcfb7c6b0e4b561,067c29255e664e4b6d0476d25d10240ba4dc164ff14b86c870338547fe107c25,11915,6000,60000,116578,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,4.764515161514282,38799.0,0.64665,2336254.5982903326,792774.3682295262,2.946935082560507,0.2652172731855419,8240394741.733329,d20_h12
